Passer,Receiver,Team,Passes,Assists
Jalen Johnson,Trae Young,ATL,1057,26
Jalen Johnson,Dejounte Murray,ATL,874,28
Dejounte Murray,Bogdan Bogdanović,ATL,780,80
Bogdan Bogdanović,Dejounte Murray,ATL,696,32
De'Andre Hunter,Dejounte Murray,ATL,663,30
Trae Young,Dejounte Murray,ATL,648,74
Dejounte Murray,Trae Young,ATL,641,33
Dejounte Murray,De'Andre Hunter,ATL,612,84
Saddiq Bey,Dejounte Murray,ATL,608,22
Dejounte Murray,Jalen Johnson,ATL,561,73
Clint Capela,Dejounte Murray,ATL,543,22
Trae Young,Bogdan Bogdanović,ATL,540,122
Saddiq Bey,Trae Young,ATL,529,9
Dejounte Murray,Saddiq Bey,ATL,511,59
Trae Young,Jalen Johnson,ATL,505,99
Bogdan Bogdanović,Trae Young,ATL,492,22
Dejounte Murray,Clint Capela,ATL,443,68
Clint Capela,Trae Young,ATL,328,10
De'Andre Hunter,Trae Young,ATL,314,2
Trae Young,Saddiq Bey,ATL,301,47
Onyeka Okongwu,Trae Young,ATL,300,9
Trae Young,Clint Capela,ATL,257,69
Onyeka Okongwu,Dejounte Murray,ATL,251,4
Trae Young,De'Andre Hunter,ATL,249,40
Jalen Johnson,Bogdan Bogdanović,ATL,244,29
Trae Young,Onyeka Okongwu,ATL,238,72
Onyeka Okongwu,Bogdan Bogdanović,ATL,213,20
Clint Capela,Bogdan Bogdanović,ATL,211,21
Dejounte Murray,Onyeka Okongwu,ATL,207,21
Bogdan Bogdanović,Jalen Johnson,ATL,195,26
Garrison Mathews,Dejounte Murray,ATL,186,4
Bogdan Bogdanović,Onyeka Okongwu,ATL,172,32
Dejounte Murray,Garrison Mathews,ATL,172,21
Bogdan Bogdanović,Clint Capela,ATL,169,39
Jalen Johnson,Clint Capela,ATL,155,28
Jalen Johnson,Saddiq Bey,ATL,144,24
Bogdan Bogdanović,Saddiq Bey,ATL,141,25
Bruno Fernando,Dejounte Murray,ATL,135,9
Bogdan Bogdanović,De'Andre Hunter,ATL,129,25
De'Andre Hunter,Bogdan Bogdanović,ATL,126,14
Dejounte Murray,Bruno Fernando,ATL,121,19
Jalen Johnson,Onyeka Okongwu,ATL,119,21
Saddiq Bey,Bogdan Bogdanović,ATL,118,9
Clint Capela,Jalen Johnson,ATL,117,6
De'Andre Hunter,Clint Capela,ATL,112,7
Garrison Mathews,Trae Young,ATL,106,5
Trae Young,Garrison Mathews,ATL,104,18
Saddiq Bey,Jalen Johnson,ATL,102,20
Jalen Johnson,De'Andre Hunter,ATL,101,25
Clint Capela,De'Andre Hunter,ATL,95,16
Onyeka Okongwu,Saddiq Bey,ATL,81,11
Bogdan Bogdanović,Bruno Fernando,ATL,78,19
Saddiq Bey,Clint Capela,ATL,78,10
Onyeka Okongwu,Jalen Johnson,ATL,76,8
Bruno Fernando,Bogdan Bogdanović,ATL,75,5
Saddiq Bey,Onyeka Okongwu,ATL,73,6
De'Andre Hunter,Jalen Johnson,ATL,65,5
De'Andre Hunter,Saddiq Bey,ATL,61,8
Clint Capela,Saddiq Bey,ATL,60,7
De'Andre Hunter,Bruno Fernando,ATL,59,6
Saddiq Bey,De'Andre Hunter,ATL,59,7
Bruno Fernando,Garrison Mathews,ATL,56,5
Bruno Fernando,De'Andre Hunter,ATL,54,6
De'Andre Hunter,Onyeka Okongwu,ATL,53,4
Onyeka Okongwu,De'Andre Hunter,ATL,52,6
Trae Young,Bruno Fernando,ATL,46,12
Bruno Fernando,Trae Young,ATL,45,2
Jalen Johnson,Bruno Fernando,ATL,44,2
Bruno Fernando,Jalen Johnson,ATL,42,4
Bogdan Bogdanović,Garrison Mathews,ATL,42,6
Garrison Mathews,Bogdan Bogdanović,ATL,41,1
Garrison Mathews,Bruno Fernando,ATL,40,3
Jalen Johnson,Garrison Mathews,ATL,36,9
Garrison Mathews,Saddiq Bey,ATL,32,1
Garrison Mathews,De'Andre Hunter,ATL,32,1
Onyeka Okongwu,Garrison Mathews,ATL,31,6
Garrison Mathews,Onyeka Okongwu,ATL,31,2
Garrison Mathews,Jalen Johnson,ATL,28,4
De'Andre Hunter,Garrison Mathews,ATL,24,3
Saddiq Bey,Garrison Mathews,ATL,14,2
Bruno Fernando,Saddiq Bey,ATL,14,2
Clint Capela,Garrison Mathews,ATL,13,6
Garrison Mathews,Clint Capela,ATL,11,3
Clint Capela,Onyeka Okongwu,ATL,6,1
Onyeka Okongwu,Clint Capela,ATL,6,3
Saddiq Bey,Bruno Fernando,ATL,6,1
