Passer,Receiver,Team,Passes,Assists
Jalen Suggs,Paolo Banchero,ORL,864,54
Paolo Banchero,Jalen Suggs,ORL,853,83
Paolo Banchero,Franz Wagner,ORL,779,81
Franz Wagner,Paolo Banchero,ORL,755,50
Cole Anthony,Paolo Banchero,ORL,498,24
Cole Anthony,Moritz Wagner,ORL,470,55
Paolo Banchero,Cole Anthony,ORL,466,27
Cole Anthony,Franz Wagner,ORL,463,36
Moritz Wagner,Cole Anthony,ORL,457,20
Jalen Suggs,Franz Wagner,ORL,455,48
Wendell Carter Jr.,Paolo Banchero,ORL,399,20
Joe Ingles,Cole Anthony,ORL,397,27
Franz Wagner,Jalen Suggs,ORL,384,42
Anthony Black,Paolo Banchero,ORL,362,18
Cole Anthony,Joe Ingles,ORL,349,18
Franz Wagner,Cole Anthony,ORL,338,21
Paolo Banchero,Wendell Carter Jr.,ORL,335,52
Joe Ingles,Moritz Wagner,ORL,318,68
Goga Bitadze,Paolo Banchero,ORL,297,18
Joe Ingles,Paolo Banchero,ORL,294,26
Wendell Carter Jr.,Franz Wagner,ORL,291,19
Paolo Banchero,Anthony Black,ORL,285,21
Wendell Carter Jr.,Jalen Suggs,ORL,284,18
Moritz Wagner,Joe Ingles,ORL,261,9
Franz Wagner,Wendell Carter Jr.,ORL,235,36
Jalen Suggs,Wendell Carter Jr.,ORL,234,31
Goga Bitadze,Jalen Suggs,ORL,225,17
Moritz Wagner,Franz Wagner,ORL,213,13
Paolo Banchero,Gary Harris,ORL,210,25
Franz Wagner,Moritz Wagner,ORL,205,47
Paolo Banchero,Joe Ingles,ORL,193,27
Anthony Black,Franz Wagner,ORL,187,13
Paolo Banchero,Goga Bitadze,ORL,183,19
Anthony Black,Goga Bitadze,ORL,172,12
Franz Wagner,Anthony Black,ORL,169,9
Gary Harris,Paolo Banchero,ORL,168,15
Paolo Banchero,Moritz Wagner,ORL,167,39
Moritz Wagner,Paolo Banchero,ORL,160,5
Goga Bitadze,Franz Wagner,ORL,156,9
Anthony Black,Cole Anthony,ORL,139,5
Jalen Suggs,Goga Bitadze,ORL,139,14
Jalen Suggs,Anthony Black,ORL,136,9
Anthony Black,Jalen Suggs,ORL,136,14
Joe Ingles,Franz Wagner,ORL,131,7
Gary Harris,Cole Anthony,ORL,126,16
Cole Anthony,Gary Harris,ORL,123,20
Goga Bitadze,Anthony Black,ORL,118,14
Gary Harris,Franz Wagner,ORL,115,9
Franz Wagner,Goga Bitadze,ORL,106,14
Cole Anthony,Anthony Black,ORL,106,13
Franz Wagner,Gary Harris,ORL,105,13
Jalen Suggs,Gary Harris,ORL,103,9
Wendell Carter Jr.,Cole Anthony,ORL,101,8
Jalen Suggs,Cole Anthony,ORL,100,7
Franz Wagner,Joe Ingles,ORL,96,5
Anthony Black,Moritz Wagner,ORL,90,6
Cole Anthony,Jalen Suggs,ORL,87,10
Anthony Black,Joe Ingles,ORL,84,2
Moritz Wagner,Anthony Black,ORL,84,5
Wendell Carter Jr.,Gary Harris,ORL,84,16
Cole Anthony,Wendell Carter Jr.,ORL,78,9
Gary Harris,Jalen Suggs,ORL,77,5
Goga Bitadze,Cole Anthony,ORL,71,3
Joe Ingles,Jalen Suggs,ORL,70,6
Joe Ingles,Gary Harris,ORL,69,12
Wendell Carter Jr.,Anthony Black,ORL,68,4
Moritz Wagner,Jalen Suggs,ORL,65,5
Joe Ingles,Anthony Black,ORL,65,5
Gary Harris,Wendell Carter Jr.,ORL,65,9
Moritz Wagner,Gary Harris,ORL,63,7
Jalen Suggs,Joe Ingles,ORL,60,4
Joe Ingles,Wendell Carter Jr.,ORL,56,8
Cole Anthony,Goga Bitadze,ORL,56,3
Wendell Carter Jr.,Joe Ingles,ORL,56,0
Jalen Suggs,Moritz Wagner,ORL,54,5
Anthony Black,Wendell Carter Jr.,ORL,54,5
Gary Harris,Moritz Wagner,ORL,47,13
Gary Harris,Joe Ingles,ORL,44,5
Joe Ingles,Goga Bitadze,ORL,43,9
Goga Bitadze,Gary Harris,ORL,30,4
Goga Bitadze,Joe Ingles,ORL,28,2
Gary Harris,Anthony Black,ORL,18,2
Gary Harris,Goga Bitadze,ORL,18,4
Anthony Black,Gary Harris,ORL,17,0
Wendell Carter Jr.,Moritz Wagner,ORL,7,2
Moritz Wagner,Wendell Carter Jr.,ORL,4,2
Goga Bitadze,Moritz Wagner,ORL,2,1
