Passer,Receiver,Team,Passes,Assists
Tyus Jones,Kyle Kuzma,WAS,1052,171
Deni Avdija,Tyus Jones,WAS,800,26
Kyle Kuzma,Tyus Jones,WAS,798,59
Tyus Jones,Jordan Poole,WAS,683,64
Deni Avdija,Jordan Poole,WAS,615,33
Jordan Poole,Tyus Jones,WAS,526,32
Tyus Jones,Deni Avdija,WAS,511,71
Kyle Kuzma,Jordan Poole,WAS,468,51
Jordan Poole,Kyle Kuzma,WAS,389,51
Jordan Poole,Deni Avdija,WAS,388,54
Corey Kispert,Jordan Poole,WAS,377,23
Jordan Poole,Corey Kispert,WAS,372,71
Bilal Coulibaly,Tyus Jones,WAS,353,11
Deni Avdija,Kyle Kuzma,WAS,346,54
Tyus Jones,Corey Kispert,WAS,313,57
Tyus Jones,Bilal Coulibaly,WAS,295,27
Corey Kispert,Tyus Jones,WAS,293,12
Deni Avdija,Corey Kispert,WAS,254,45
Kyle Kuzma,Deni Avdija,WAS,246,40
Corey Kispert,Deni Avdija,WAS,226,21
Kyle Kuzma,Corey Kispert,WAS,181,36
Bilal Coulibaly,Jordan Poole,WAS,176,10
Bilal Coulibaly,Kyle Kuzma,WAS,165,22
Corey Kispert,Kyle Kuzma,WAS,162,17
Kyle Kuzma,Bilal Coulibaly,WAS,154,30
Tyus Jones,Landry Shamet,WAS,154,25
Bilal Coulibaly,Corey Kispert,WAS,137,15
Jordan Poole,Bilal Coulibaly,WAS,132,11
Deni Avdija,Jared Butler,WAS,123,6
Deni Avdija,Bilal Coulibaly,WAS,120,20
Corey Kispert,Jared Butler,WAS,117,2
Bilal Coulibaly,Deni Avdija,WAS,115,9
Patrick Baldwin Jr.,Jared Butler,WAS,112,1
Deni Avdija,Landry Shamet,WAS,107,11
Jared Butler,Corey Kispert,WAS,106,14
Landry Shamet,Tyus Jones,WAS,105,4
Jared Butler,Deni Avdija,WAS,102,7
Landry Shamet,Deni Avdija,WAS,96,5
Johnny Davis,Jordan Poole,WAS,95,7
Corey Kispert,Bilal Coulibaly,WAS,94,8
Patrick Baldwin Jr.,Jordan Poole,WAS,94,4
Corey Kispert,Landry Shamet,WAS,88,12
Jared Butler,Jordan Poole,WAS,88,9
Landry Shamet,Jordan Poole,WAS,85,3
Jordan Poole,Landry Shamet,WAS,73,10
Kyle Kuzma,Landry Shamet,WAS,73,9
Landry Shamet,Kyle Kuzma,WAS,72,6
Landry Shamet,Corey Kispert,WAS,72,13
Patrick Baldwin Jr.,Deni Avdija,WAS,62,0
Jared Butler,Patrick Baldwin Jr.,WAS,53,9
Bilal Coulibaly,Jared Butler,WAS,53,5
Jordan Poole,Patrick Baldwin Jr.,WAS,52,6
Johnny Davis,Jared Butler,WAS,51,3
Bilal Coulibaly,Landry Shamet,WAS,49,4
Jordan Poole,Jared Butler,WAS,48,5
Jordan Poole,Johnny Davis,WAS,47,6
Jared Butler,Bilal Coulibaly,WAS,46,9
Corey Kispert,Johnny Davis,WAS,45,7
Deni Avdija,Patrick Baldwin Jr.,WAS,45,9
Patrick Baldwin Jr.,Corey Kispert,WAS,44,6
Landry Shamet,Bilal Coulibaly,WAS,43,5
Johnny Davis,Deni Avdija,WAS,43,1
Deni Avdija,Johnny Davis,WAS,42,6
Jared Butler,Kyle Kuzma,WAS,39,1
Jared Butler,Johnny Davis,WAS,36,5
Kyle Kuzma,Jared Butler,WAS,34,1
Corey Kispert,Patrick Baldwin Jr.,WAS,32,6
Johnny Davis,Corey Kispert,WAS,32,5
Patrick Baldwin Jr.,Johnny Davis,WAS,26,2
Johnny Davis,Patrick Baldwin Jr.,WAS,20,3
Patrick Baldwin Jr.,Bilal Coulibaly,WAS,15,2
Bilal Coulibaly,Patrick Baldwin Jr.,WAS,15,2
Bilal Coulibaly,Johnny Davis,WAS,15,2
Johnny Davis,Tyus Jones,WAS,13,0
Johnny Davis,Bilal Coulibaly,WAS,13,2
Kyle Kuzma,Johnny Davis,WAS,12,1
Johnny Davis,Kyle Kuzma,WAS,12,2
Landry Shamet,Johnny Davis,WAS,11,2
Tyus Jones,Johnny Davis,WAS,10,0
Patrick Baldwin Jr.,Kyle Kuzma,WAS,10,0
Kyle Kuzma,Patrick Baldwin Jr.,WAS,8,1
Johnny Davis,Landry Shamet,WAS,7,0
Patrick Baldwin Jr.,Landry Shamet,WAS,7,2
Jared Butler,Tyus Jones,WAS,6,0
Jared Butler,Landry Shamet,WAS,6,0
Tyus Jones,Jared Butler,WAS,5,0
Landry Shamet,Jared Butler,WAS,5,0
Tyus Jones,Patrick Baldwin Jr.,WAS,4,0
Patrick Baldwin Jr.,Tyus Jones,WAS,3,0
Landry Shamet,Patrick Baldwin Jr.,WAS,2,0
Jared Butler,Jared Butler,WAS,1,0
