Passer,Receiver,Team,Passes,Assists
Kyrie Irving,Luka Dončić,DAL,728,43
Luka Dončić,Kyrie Irving,DAL,688,91
Dereck Lively II,Luka Dončić,DAL,643,14
Tim Hardaway Jr.,Luka Dončić,DAL,481,13
Luka Dončić,Tim Hardaway Jr.,DAL,481,77
Luka Dončić,Derrick Jones Jr.,DAL,451,82
Derrick Jones Jr.,Luka Dončić,DAL,441,14
Danté Exum,Luka Dončić,DAL,437,26
Tim Hardaway Jr.,Kyrie Irving,DAL,347,16
Josh Green,Luka Dončić,DAL,339,14
Luka Dončić,Dereck Lively II,DAL,339,109
Luka Dončić,Danté Exum,DAL,318,41
P.J. Washington,Luka Dončić,DAL,302,6
Kyrie Irving,Tim Hardaway Jr.,DAL,301,56
Luka Dončić,Josh Green,DAL,301,43
Derrick Jones Jr.,Kyrie Irving,DAL,272,13
Dereck Lively II,Kyrie Irving,DAL,254,15
Kyrie Irving,Derrick Jones Jr.,DAL,237,33
P.J. Washington,Kyrie Irving,DAL,233,11
Luka Dončić,P.J. Washington,DAL,223,53
Kyrie Irving,Josh Green,DAL,218,40
Daniel Gafford,Kyrie Irving,DAL,198,16
Danté Exum,Kyrie Irving,DAL,198,19
Danté Exum,Tim Hardaway Jr.,DAL,195,24
Daniel Gafford,Luka Dončić,DAL,194,9
Josh Green,Kyrie Irving,DAL,193,19
Jaden Hardy,Luka Dončić,DAL,176,6
Tim Hardaway Jr.,Danté Exum,DAL,171,18
Kyrie Irving,Danté Exum,DAL,170,9
Luka Dončić,Jaden Hardy,DAL,163,24
Josh Green,Tim Hardaway Jr.,DAL,152,26
Dereck Lively II,Danté Exum,DAL,151,3
Kyrie Irving,P.J. Washington,DAL,146,14
Luka Dončić,Daniel Gafford,DAL,140,53
Kyrie Irving,Jaden Hardy,DAL,139,12
Derrick Jones Jr.,Tim Hardaway Jr.,DAL,139,13
Kyrie Irving,Dereck Lively II,DAL,129,24
Dereck Lively II,Tim Hardaway Jr.,DAL,123,14
Kyrie Irving,Daniel Gafford,DAL,118,18
Tim Hardaway Jr.,Josh Green,DAL,115,9
Jaden Hardy,Tim Hardaway Jr.,DAL,108,15
Tim Hardaway Jr.,Jaden Hardy,DAL,107,11
Josh Green,Jaden Hardy,DAL,105,10
Tim Hardaway Jr.,Derrick Jones Jr.,DAL,99,17
Derrick Jones Jr.,Danté Exum,DAL,98,2
Jaden Hardy,Kyrie Irving,DAL,96,10
P.J. Washington,Danté Exum,DAL,86,5
Jaden Hardy,Josh Green,DAL,86,6
Danté Exum,Dereck Lively II,DAL,86,13
Tim Hardaway Jr.,Dereck Lively II,DAL,82,5
Dereck Lively II,Josh Green,DAL,78,5
Josh Green,Derrick Jones Jr.,DAL,77,8
Josh Green,Dereck Lively II,DAL,77,9
Dereck Lively II,Jaden Hardy,DAL,75,2
Danté Exum,Derrick Jones Jr.,DAL,71,15
Josh Green,Danté Exum,DAL,68,7
Jaden Hardy,Danté Exum,DAL,66,6
Derrick Jones Jr.,Josh Green,DAL,66,6
Dereck Lively II,Derrick Jones Jr.,DAL,66,4
Derrick Jones Jr.,Jaden Hardy,DAL,65,5
Daniel Gafford,Tim Hardaway Jr.,DAL,62,4
Danté Exum,Jaden Hardy,DAL,60,7
Jaden Hardy,Derrick Jones Jr.,DAL,52,8
Tim Hardaway Jr.,Daniel Gafford,DAL,51,10
Danté Exum,P.J. Washington,DAL,51,15
P.J. Washington,Derrick Jones Jr.,DAL,50,5
P.J. Washington,Tim Hardaway Jr.,DAL,48,2
Danté Exum,Daniel Gafford,DAL,45,6
Daniel Gafford,Danté Exum,DAL,44,2
Daniel Gafford,P.J. Washington,DAL,43,5
Danté Exum,Josh Green,DAL,41,4
Tim Hardaway Jr.,P.J. Washington,DAL,40,8
Derrick Jones Jr.,P.J. Washington,DAL,38,6
Daniel Gafford,Derrick Jones Jr.,DAL,38,4
Jaden Hardy,Dereck Lively II,DAL,35,4
Daniel Gafford,Jaden Hardy,DAL,33,3
Josh Green,P.J. Washington,DAL,31,4
P.J. Washington,Josh Green,DAL,29,1
Derrick Jones Jr.,Dereck Lively II,DAL,27,1
P.J. Washington,Daniel Gafford,DAL,27,9
P.J. Washington,Jaden Hardy,DAL,25,1
Daniel Gafford,Josh Green,DAL,19,1
Derrick Jones Jr.,Daniel Gafford,DAL,17,3
Jaden Hardy,Daniel Gafford,DAL,17,6
Dereck Lively II,P.J. Washington,DAL,16,0
Josh Green,Daniel Gafford,DAL,15,3
Jaden Hardy,P.J. Washington,DAL,13,1
P.J. Washington,Dereck Lively II,DAL,10,2
