Passer,Receiver,Team,Passes,Assists
Evan Mobley,Darius Garland,CLE,723,21
Jarrett Allen,Donovan Mitchell,CLE,694,34
Max Strus,Donovan Mitchell,CLE,642,36
Donovan Mitchell,Max Strus,CLE,615,58
Jarrett Allen,Darius Garland,CLE,576,33
Georges Niang,Darius Garland,CLE,508,9
Max Strus,Jarrett Allen,CLE,467,82
Darius Garland,Evan Mobley,CLE,463,67
Max Strus,Darius Garland,CLE,462,22
Darius Garland,Caris LeVert,CLE,455,24
Darius Garland,Jarrett Allen,CLE,447,93
Donovan Mitchell,Caris LeVert,CLE,421,39
Donovan Mitchell,Jarrett Allen,CLE,419,80
Georges Niang,Caris LeVert,CLE,411,10
Jarrett Allen,Max Strus,CLE,410,34
Darius Garland,Max Strus,CLE,393,44
Evan Mobley,Donovan Mitchell,CLE,378,13
Darius Garland,Georges Niang,CLE,343,46
Caris LeVert,Georges Niang,CLE,342,59
Evan Mobley,Max Strus,CLE,342,27
Caris LeVert,Darius Garland,CLE,340,25
Donovan Mitchell,Darius Garland,CLE,337,30
Caris LeVert,Donovan Mitchell,CLE,333,35
Caris LeVert,Jarrett Allen,CLE,332,59
Georges Niang,Donovan Mitchell,CLE,331,6
Dean Wade,Donovan Mitchell,CLE,321,7
Jarrett Allen,Caris LeVert,CLE,315,17
Darius Garland,Donovan Mitchell,CLE,312,27
Max Strus,Evan Mobley,CLE,301,44
Max Strus,Caris LeVert,CLE,285,22
Darius Garland,Isaac Okoro,CLE,259,29
Isaac Okoro,Donovan Mitchell,CLE,253,14
Evan Mobley,Caris LeVert,CLE,241,18
Isaac Okoro,Darius Garland,CLE,230,6
Donovan Mitchell,Isaac Okoro,CLE,223,32
Caris LeVert,Evan Mobley,CLE,222,35
Donovan Mitchell,Evan Mobley,CLE,221,28
Isaac Okoro,Jarrett Allen,CLE,214,33
Caris LeVert,Max Strus,CLE,212,24
Caris LeVert,Sam Merrill,CLE,196,31
Max Strus,Isaac Okoro,CLE,194,24
Caris LeVert,Isaac Okoro,CLE,192,43
Donovan Mitchell,Georges Niang,CLE,186,21
Isaac Okoro,Caris LeVert,CLE,184,14
Donovan Mitchell,Dean Wade,CLE,175,27
Dean Wade,Darius Garland,CLE,168,5
Jarrett Allen,Isaac Okoro,CLE,162,26
Darius Garland,Sam Merrill,CLE,157,18
Dean Wade,Max Strus,CLE,150,8
Isaac Okoro,Max Strus,CLE,150,15
Max Strus,Georges Niang,CLE,146,20
Sam Merrill,Darius Garland,CLE,144,6
Georges Niang,Isaac Okoro,CLE,144,9
Sam Merrill,Georges Niang,CLE,141,25
Sam Merrill,Caris LeVert,CLE,135,11
Donovan Mitchell,Sam Merrill,CLE,130,18
Georges Niang,Max Strus,CLE,127,16
Georges Niang,Sam Merrill,CLE,126,16
Dean Wade,Caris LeVert,CLE,124,2
Isaac Okoro,Georges Niang,CLE,122,10
Evan Mobley,Isaac Okoro,CLE,119,19
Max Strus,Dean Wade,CLE,117,10
Sam Merrill,Donovan Mitchell,CLE,110,6
Georges Niang,Jarrett Allen,CLE,109,12
Sam Merrill,Jarrett Allen,CLE,108,11
Evan Mobley,Jarrett Allen,CLE,106,30
Jarrett Allen,Evan Mobley,CLE,103,23
Isaac Okoro,Evan Mobley,CLE,103,13
Evan Mobley,Georges Niang,CLE,98,15
Jarrett Allen,Georges Niang,CLE,97,13
Caris LeVert,Dean Wade,CLE,95,10
Dean Wade,Jarrett Allen,CLE,92,5
Darius Garland,Dean Wade,CLE,89,10
Jarrett Allen,Sam Merrill,CLE,86,9
Georges Niang,Evan Mobley,CLE,75,9
Isaac Okoro,Dean Wade,CLE,74,8
Max Strus,Sam Merrill,CLE,74,10
Dean Wade,Isaac Okoro,CLE,68,7
Jarrett Allen,Dean Wade,CLE,66,9
Sam Merrill,Isaac Okoro,CLE,59,2
Isaac Okoro,Sam Merrill,CLE,53,7
Sam Merrill,Max Strus,CLE,53,6
Evan Mobley,Sam Merrill,CLE,45,7
Sam Merrill,Evan Mobley,CLE,44,6
Dean Wade,Georges Niang,CLE,42,5
Dean Wade,Sam Merrill,CLE,41,1
Georges Niang,Dean Wade,CLE,32,3
Sam Merrill,Dean Wade,CLE,28,1
Evan Mobley,Dean Wade,CLE,26,3
Dean Wade,Evan Mobley,CLE,22,3
