Passer,Receiver,Team,Passes,Assists
Draymond Green,Stephen Curry,GSW,1090,108
Stephen Curry,Draymond Green,GSW,596,57
Chris Paul,Klay Thompson,GSW,479,83
Jonathan Kuminga,Stephen Curry,GSW,438,29
Kevon Looney,Stephen Curry,GSW,435,22
Brandin Podziemski,Stephen Curry,GSW,407,40
Stephen Curry,Klay Thompson,GSW,400,70
Andrew Wiggins,Stephen Curry,GSW,395,30
Chris Paul,Stephen Curry,GSW,371,51
Stephen Curry,Andrew Wiggins,GSW,349,45
Brandin Podziemski,Jonathan Kuminga,GSW,348,48
Trayce Jackson-Davis,Chris Paul,GSW,343,6
Stephen Curry,Jonathan Kuminga,GSW,340,50
Stephen Curry,Kevon Looney,GSW,335,32
Jonathan Kuminga,Chris Paul,GSW,325,5
Draymond Green,Klay Thompson,GSW,312,63
Draymond Green,Andrew Wiggins,GSW,310,41
Jonathan Kuminga,Brandin Podziemski,GSW,301,17
Brandin Podziemski,Chris Paul,GSW,299,12
Chris Paul,Jonathan Kuminga,GSW,297,47
Stephen Curry,Brandin Podziemski,GSW,287,17
Draymond Green,Jonathan Kuminga,GSW,276,50
Stephen Curry,Chris Paul,GSW,269,8
Kevon Looney,Chris Paul,GSW,257,7
Jonathan Kuminga,Draymond Green,GSW,257,11
Klay Thompson,Stephen Curry,GSW,247,9
Chris Paul,Brandin Podziemski,GSW,247,24
Andrew Wiggins,Draymond Green,GSW,234,14
Kevon Looney,Klay Thompson,GSW,234,32
Draymond Green,Brandin Podziemski,GSW,229,19
Trayce Jackson-Davis,Stephen Curry,GSW,226,12
Brandin Podziemski,Klay Thompson,GSW,219,41
Kevon Looney,Brandin Podziemski,GSW,217,10
Trayce Jackson-Davis,Brandin Podziemski,GSW,216,14
Brandin Podziemski,Draymond Green,GSW,212,10
Chris Paul,Andrew Wiggins,GSW,211,35
Andrew Wiggins,Chris Paul,GSW,205,8
Brandin Podziemski,Andrew Wiggins,GSW,198,25
Klay Thompson,Draymond Green,GSW,194,16
Klay Thompson,Chris Paul,GSW,185,9
Draymond Green,Chris Paul,GSW,184,2
Klay Thompson,Kevon Looney,GSW,182,22
Chris Paul,Trayce Jackson-Davis,GSW,181,39
Kevon Looney,Andrew Wiggins,GSW,177,25
Klay Thompson,Jonathan Kuminga,GSW,168,20
Jonathan Kuminga,Klay Thompson,GSW,164,33
Brandin Podziemski,Kevon Looney,GSW,164,9
Chris Paul,Moses Moody,GSW,159,20
Stephen Curry,Trayce Jackson-Davis,GSW,156,29
Klay Thompson,Trayce Jackson-Davis,GSW,151,37
Klay Thompson,Brandin Podziemski,GSW,144,9
Andrew Wiggins,Brandin Podziemski,GSW,141,15
Andrew Wiggins,Kevon Looney,GSW,133,1
Trayce Jackson-Davis,Klay Thompson,GSW,132,17
Brandin Podziemski,Trayce Jackson-Davis,GSW,130,17
Kevon Looney,Draymond Green,GSW,130,9
Klay Thompson,Andrew Wiggins,GSW,128,12
Stephen Curry,Moses Moody,GSW,127,20
Kevon Looney,Jonathan Kuminga,GSW,124,10
Chris Paul,Kevon Looney,GSW,122,8
Brandin Podziemski,Moses Moody,GSW,121,15
Jonathan Kuminga,Kevon Looney,GSW,120,7
Andrew Wiggins,Klay Thompson,GSW,114,14
Jonathan Kuminga,Andrew Wiggins,GSW,114,13
Moses Moody,Chris Paul,GSW,113,1
Chris Paul,Draymond Green,GSW,112,10
Andrew Wiggins,Jonathan Kuminga,GSW,109,8
Trayce Jackson-Davis,Jonathan Kuminga,GSW,93,6
Moses Moody,Jonathan Kuminga,GSW,90,5
Moses Moody,Brandin Podziemski,GSW,90,8
Jonathan Kuminga,Moses Moody,GSW,84,11
Moses Moody,Stephen Curry,GSW,83,6
Moses Moody,Draymond Green,GSW,82,3
Jonathan Kuminga,Trayce Jackson-Davis,GSW,76,11
Trayce Jackson-Davis,Andrew Wiggins,GSW,73,7
Trayce Jackson-Davis,Draymond Green,GSW,73,1
Draymond Green,Moses Moody,GSW,68,8
Andrew Wiggins,Trayce Jackson-Davis,GSW,68,6
Moses Moody,Kevon Looney,GSW,66,3
Kevon Looney,Moses Moody,GSW,64,6
Klay Thompson,Moses Moody,GSW,54,12
Trayce Jackson-Davis,Moses Moody,GSW,51,8
Draymond Green,Trayce Jackson-Davis,GSW,51,2
Andrew Wiggins,Moses Moody,GSW,50,8
Moses Moody,Trayce Jackson-Davis,GSW,48,4
Draymond Green,Kevon Looney,GSW,46,4
Moses Moody,Klay Thompson,GSW,45,7
Moses Moody,Andrew Wiggins,GSW,41,6
