Passer,Receiver,Team,Passes,Assists
Tyrese Haliburton,Myles Turner,IND,840,212
Myles Turner,Tyrese Haliburton,IND,686,19
Aaron Nesmith,Tyrese Haliburton,IND,654,16
Tyrese Haliburton,Andrew Nembhard,IND,644,50
Tyrese Haliburton,Pascal Siakam,IND,582,70
Tyrese Haliburton,Aaron Nesmith,IND,560,95
Andrew Nembhard,Tyrese Haliburton,IND,551,27
Obi Toppin,Tyrese Haliburton,IND,517,13
Pascal Siakam,Tyrese Haliburton,IND,508,31
Obi Toppin,T.J. McConnell,IND,483,14
T.J. McConnell,Bennedict Mathurin,IND,429,47
Tyrese Haliburton,Obi Toppin,IND,403,84
T.J. McConnell,Obi Toppin,IND,402,75
Aaron Nesmith,Andrew Nembhard,IND,377,14
Tyrese Haliburton,Bennedict Mathurin,IND,376,40
Bennedict Mathurin,Tyrese Haliburton,IND,373,18
Bennedict Mathurin,T.J. McConnell,IND,369,11
Andrew Nembhard,Myles Turner,IND,354,63
Ben Sheppard,T.J. McConnell,IND,321,14
T.J. McConnell,Ben Sheppard,IND,317,29
Aaron Nesmith,T.J. McConnell,IND,285,9
Andrew Nembhard,Pascal Siakam,IND,280,27
Jalen Smith,T.J. McConnell,IND,269,7
Andrew Nembhard,Aaron Nesmith,IND,256,29
Jalen Smith,Tyrese Haliburton,IND,240,10
Myles Turner,Andrew Nembhard,IND,236,14
Tyrese Haliburton,Jalen Smith,IND,224,55
T.J. McConnell,Aaron Nesmith,IND,219,41
Pascal Siakam,Andrew Nembhard,IND,217,22
T.J. McConnell,Jalen Smith,IND,206,31
Andrew Nembhard,Bennedict Mathurin,IND,182,25
T.J. McConnell,Pascal Siakam,IND,168,25
Aaron Nesmith,Pascal Siakam,IND,161,19
Obi Toppin,Andrew Nembhard,IND,158,5
Tyrese Haliburton,T.J. McConnell,IND,156,12
Pascal Siakam,Aaron Nesmith,IND,153,21
Bennedict Mathurin,Andrew Nembhard,IND,153,5
Obi Toppin,Bennedict Mathurin,IND,148,15
Pascal Siakam,Myles Turner,IND,147,28
T.J. McConnell,Tyrese Haliburton,IND,141,11
Jalen Smith,Andrew Nembhard,IND,140,4
T.J. McConnell,Myles Turner,IND,132,22
Aaron Nesmith,Myles Turner,IND,128,13
Myles Turner,Aaron Nesmith,IND,126,15
Andrew Nembhard,Jalen Smith,IND,126,20
Pascal Siakam,T.J. McConnell,IND,125,8
Bennedict Mathurin,Obi Toppin,IND,113,11
Myles Turner,Pascal Siakam,IND,112,16
Myles Turner,T.J. McConnell,IND,111,2
Bennedict Mathurin,Myles Turner,IND,108,11
Ben Sheppard,Tyrese Haliburton,IND,107,2
Andrew Nembhard,Obi Toppin,IND,101,21
Myles Turner,Bennedict Mathurin,IND,96,5
Obi Toppin,Ben Sheppard,IND,86,10
Aaron Nesmith,Bennedict Mathurin,IND,85,3
Obi Toppin,Aaron Nesmith,IND,80,9
Bennedict Mathurin,Aaron Nesmith,IND,76,12
Andrew Nembhard,T.J. McConnell,IND,71,6
Ben Sheppard,Obi Toppin,IND,69,8
Tyrese Haliburton,Ben Sheppard,IND,69,10
T.J. McConnell,Andrew Nembhard,IND,68,4
Obi Toppin,Myles Turner,IND,62,6
Pascal Siakam,Bennedict Mathurin,IND,62,9
Aaron Nesmith,Obi Toppin,IND,60,6
Myles Turner,Obi Toppin,IND,60,8
Jalen Smith,Pascal Siakam,IND,54,9
Ben Sheppard,Bennedict Mathurin,IND,54,3
Jalen Smith,Obi Toppin,IND,54,9
Aaron Nesmith,Jalen Smith,IND,54,5
Bennedict Mathurin,Pascal Siakam,IND,50,6
Ben Sheppard,Andrew Nembhard,IND,49,1
Ben Sheppard,Pascal Siakam,IND,48,5
Jalen Smith,Bennedict Mathurin,IND,48,5
Bennedict Mathurin,Jalen Smith,IND,47,8
Andrew Nembhard,Ben Sheppard,IND,43,7
Pascal Siakam,Jalen Smith,IND,43,11
Jalen Smith,Aaron Nesmith,IND,38,2
Obi Toppin,Jalen Smith,IND,37,13
Bennedict Mathurin,Ben Sheppard,IND,36,1
Pascal Siakam,Ben Sheppard,IND,34,2
Jalen Smith,Ben Sheppard,IND,31,2
Ben Sheppard,Jalen Smith,IND,30,2
Obi Toppin,Pascal Siakam,IND,30,3
Pascal Siakam,Obi Toppin,IND,26,8
Ben Sheppard,Myles Turner,IND,25,1
Jalen Smith,Myles Turner,IND,24,4
Ben Sheppard,Aaron Nesmith,IND,19,3
Aaron Nesmith,Ben Sheppard,IND,18,2
Myles Turner,Ben Sheppard,IND,18,0
Myles Turner,Jalen Smith,IND,16,4
