Passer,Receiver,Team,Passes,Assists
Damian Lillard,Giannis Antetokounmpo,MIL,1212,140
Giannis Antetokounmpo,Damian Lillard,MIL,1162,61
Bobby Portis,Damian Lillard,MIL,692,11
Brook Lopez,Damian Lillard,MIL,602,29
Damian Lillard,Brook Lopez,MIL,584,96
Malik Beasley,Damian Lillard,MIL,573,13
Khris Middleton,Giannis Antetokounmpo,MIL,559,127
Damian Lillard,Malik Beasley,MIL,499,91
Khris Middleton,Damian Lillard,MIL,470,24
Giannis Antetokounmpo,Khris Middleton,MIL,460,51
Pat Connaughton,Damian Lillard,MIL,444,12
Damian Lillard,Khris Middleton,MIL,438,32
Pat Connaughton,Giannis Antetokounmpo,MIL,427,26
Jae Crowder,Damian Lillard,MIL,394,7
Damian Lillard,Bobby Portis,MIL,382,68
Giannis Antetokounmpo,Malik Beasley,MIL,364,76
Giannis Antetokounmpo,Pat Connaughton,MIL,327,41
Malik Beasley,Giannis Antetokounmpo,MIL,327,21
Bobby Portis,Giannis Antetokounmpo,MIL,305,11
Giannis Antetokounmpo,Bobby Portis,MIL,304,72
Giannis Antetokounmpo,Brook Lopez,MIL,276,80
Brook Lopez,Giannis Antetokounmpo,MIL,269,30
Pat Connaughton,Bobby Portis,MIL,268,38
Bobby Portis,Pat Connaughton,MIL,267,12
Khris Middleton,Brook Lopez,MIL,251,56
Damian Lillard,Pat Connaughton,MIL,221,28
Jae Crowder,Giannis Antetokounmpo,MIL,205,14
Brook Lopez,Khris Middleton,MIL,202,16
Bobby Portis,Khris Middleton,MIL,195,4
Damian Lillard,Jae Crowder,MIL,190,22
Giannis Antetokounmpo,Jae Crowder,MIL,176,24
Malik Beasley,Khris Middleton,MIL,171,17
Malik Beasley,Brook Lopez,MIL,168,21
Bobby Portis,Patrick Beverley,MIL,159,7
Patrick Beverley,Giannis Antetokounmpo,MIL,151,9
Khris Middleton,Malik Beasley,MIL,147,27
Khris Middleton,Bobby Portis,MIL,138,21
Patrick Beverley,Bobby Portis,MIL,131,19
Brook Lopez,Malik Beasley,MIL,128,18
Giannis Antetokounmpo,Patrick Beverley,MIL,121,13
Patrick Beverley,Damian Lillard,MIL,119,3
Pat Connaughton,Malik Beasley,MIL,113,19
Pat Connaughton,Khris Middleton,MIL,109,6
Bobby Portis,Malik Beasley,MIL,101,15
Bobby Portis,Jae Crowder,MIL,93,15
Malik Beasley,Bobby Portis,MIL,93,14
Pat Connaughton,Patrick Beverley,MIL,92,4
Pat Connaughton,Brook Lopez,MIL,92,16
Patrick Beverley,Pat Connaughton,MIL,90,8
Jae Crowder,Malik Beasley,MIL,85,14
Damian Lillard,Patrick Beverley,MIL,82,4
Pat Connaughton,Jae Crowder,MIL,79,10
Jae Crowder,Pat Connaughton,MIL,77,3
Giannis Antetokounmpo,AJ Green,MIL,75,16
Brook Lopez,Pat Connaughton,MIL,72,4
Malik Beasley,Pat Connaughton,MIL,71,1
Pat Connaughton,AJ Green,MIL,71,13
Jae Crowder,Bobby Portis,MIL,68,9
AJ Green,Giannis Antetokounmpo,MIL,68,3
Jae Crowder,Brook Lopez,MIL,68,7
AJ Green,Pat Connaughton,MIL,65,2
Malik Beasley,Jae Crowder,MIL,63,7
Patrick Beverley,Khris Middleton,MIL,62,5
Khris Middleton,Pat Connaughton,MIL,61,8
Brook Lopez,Bobby Portis,MIL,58,10
Patrick Beverley,Brook Lopez,MIL,58,8
AJ Green,Damian Lillard,MIL,57,2
Brook Lopez,Jae Crowder,MIL,56,9
Jae Crowder,Patrick Beverley,MIL,56,2
Bobby Portis,AJ Green,MIL,55,9
Khris Middleton,Patrick Beverley,MIL,52,2
Jae Crowder,Khris Middleton,MIL,47,3
Bobby Portis,Brook Lopez,MIL,45,7
Brook Lopez,Patrick Beverley,MIL,43,2
Patrick Beverley,Malik Beasley,MIL,43,7
AJ Green,Patrick Beverley,MIL,41,1
Damian Lillard,AJ Green,MIL,41,7
AJ Green,Bobby Portis,MIL,39,7
Malik Beasley,Patrick Beverley,MIL,37,1
Patrick Beverley,AJ Green,MIL,31,3
Patrick Beverley,Jae Crowder,MIL,31,5
Khris Middleton,Jae Crowder,MIL,28,5
Jae Crowder,AJ Green,MIL,19,2
Khris Middleton,AJ Green,MIL,17,4
AJ Green,Khris Middleton,MIL,16,0
AJ Green,Jae Crowder,MIL,16,2
Brook Lopez,AJ Green,MIL,15,2
AJ Green,Malik Beasley,MIL,11,2
Malik Beasley,AJ Green,MIL,11,2
AJ Green,Brook Lopez,MIL,7,0
