Passer,Receiver,Team,Passes,Assists
Jusuf Nurkić,Kevin Durant,PHX,817,88
Jusuf Nurkić,Devin Booker,PHX,812,61
Kevin Durant,Devin Booker,PHX,753,69
Devin Booker,Kevin Durant,PHX,744,114
Grayson Allen,Devin Booker,PHX,676,32
Bradley Beal,Kevin Durant,PHX,612,63
Jusuf Nurkić,Bradley Beal,PHX,578,49
Kevin Durant,Jusuf Nurkić,PHX,568,86
Grayson Allen,Kevin Durant,PHX,534,55
Devin Booker,Grayson Allen,PHX,533,86
Bradley Beal,Devin Booker,PHX,514,46
Kevin Durant,Bradley Beal,PHX,498,31
Devin Booker,Jusuf Nurkić,PHX,442,45
Kevin Durant,Grayson Allen,PHX,415,42
Grayson Allen,Jusuf Nurkić,PHX,405,24
Bradley Beal,Jusuf Nurkić,PHX,404,26
Jusuf Nurkić,Grayson Allen,PHX,393,31
Devin Booker,Bradley Beal,PHX,376,42
Grayson Allen,Bradley Beal,PHX,370,27
Bradley Beal,Grayson Allen,PHX,316,36
Eric Gordon,Devin Booker,PHX,295,12
Kevin Durant,Eric Gordon,PHX,287,41
Drew Eubanks,Devin Booker,PHX,273,8
Eric Gordon,Kevin Durant,PHX,273,34
Drew Eubanks,Kevin Durant,PHX,255,16
Devin Booker,Eric Gordon,PHX,252,55
Jusuf Nurkić,Eric Gordon,PHX,245,22
Royce O'Neale,Devin Booker,PHX,237,9
Eric Gordon,Jusuf Nurkić,PHX,232,12
Grayson Allen,Eric Gordon,PHX,231,28
Kevin Durant,Drew Eubanks,PHX,209,30
Royce O'Neale,Bradley Beal,PHX,193,13
Eric Gordon,Bradley Beal,PHX,190,12
Royce O'Neale,Kevin Durant,PHX,183,18
Eric Gordon,Grayson Allen,PHX,182,19
Bradley Beal,Eric Gordon,PHX,180,21
Drew Eubanks,Bradley Beal,PHX,154,7
Josh Okogie,Kevin Durant,PHX,151,13
Devin Booker,Royce O'Neale,PHX,139,19
Drew Eubanks,Eric Gordon,PHX,138,5
Devin Booker,Drew Eubanks,PHX,132,23
Royce O'Neale,Grayson Allen,PHX,129,12
Bradley Beal,Royce O'Neale,PHX,123,13
Josh Okogie,Devin Booker,PHX,121,4
Kevin Durant,Royce O'Neale,PHX,116,15
Drew Eubanks,Grayson Allen,PHX,108,9
Devin Booker,Josh Okogie,PHX,105,16
Josh Okogie,Eric Gordon,PHX,102,9
Eric Gordon,Drew Eubanks,PHX,100,15
Royce O'Neale,Jusuf Nurkić,PHX,99,2
Josh Okogie,Grayson Allen,PHX,91,6
Kevin Durant,Josh Okogie,PHX,86,6
Grayson Allen,Royce O'Neale,PHX,86,10
Josh Okogie,Bradley Beal,PHX,82,5
Eric Gordon,Josh Okogie,PHX,81,6
Bradley Beal,Drew Eubanks,PHX,80,9
Royce O'Neale,Eric Gordon,PHX,79,10
Jusuf Nurkić,Royce O'Neale,PHX,78,9
Grayson Allen,Josh Okogie,PHX,68,9
Grayson Allen,Drew Eubanks,PHX,68,11
Josh Okogie,Jusuf Nurkić,PHX,67,7
Jusuf Nurkić,Josh Okogie,PHX,59,9
Bradley Beal,Josh Okogie,PHX,54,4
Eric Gordon,Royce O'Neale,PHX,38,3
Drew Eubanks,Josh Okogie,PHX,38,2
Drew Eubanks,Royce O'Neale,PHX,35,2
Josh Okogie,Drew Eubanks,PHX,33,3
Royce O'Neale,Drew Eubanks,PHX,18,2
Royce O'Neale,Josh Okogie,PHX,10,3
Josh Okogie,Royce O'Neale,PHX,9,1
David Roddy,Josh Okogie,PHX,6,0
Josh Okogie,David Roddy,PHX,6,0
David Roddy,Kevin Durant,PHX,5,0
David Roddy,Bradley Beal,PHX,4,0
Kevin Durant,David Roddy,PHX,3,0
David Roddy,Grayson Allen,PHX,3,0
David Roddy,Royce O'Neale,PHX,2,0
Devin Booker,David Roddy,PHX,2,1
Bradley Beal,David Roddy,PHX,2,0
Grayson Allen,David Roddy,PHX,2,1
David Roddy,Eric Gordon,PHX,1,0
David Roddy,Jusuf Nurkić,PHX,1,0
David Roddy,Drew Eubanks,PHX,1,0
Drew Eubanks,David Roddy,PHX,1,0
Eric Gordon,David Roddy,PHX,1,0
