Passer,Receiver,Team,Passes,Assists
Desmond Bane,Ja Morant,MEM,569,35
Desmond Bane,Jaren Jackson Jr.,MEM,553,87
Desmond Bane,Scotty Pippen Jr.,MEM,526,37
Ja Morant,Desmond Bane,MEM,500,52
Scotty Pippen Jr.,Desmond Bane,MEM,489,49
Scotty Pippen Jr.,Jaren Jackson Jr.,MEM,459,58
Santi Aldama,Scotty Pippen Jr.,MEM,438,27
Jaren Jackson Jr.,Desmond Bane,MEM,432,15
Santi Aldama,Desmond Bane,MEM,379,20
Santi Aldama,Ja Morant,MEM,334,15
Ja Morant,Jaren Jackson Jr.,MEM,333,52
Jaren Jackson Jr.,Ja Morant,MEM,333,11
Scotty Pippen Jr.,Santi Aldama,MEM,317,47
Jaren Jackson Jr.,Scotty Pippen Jr.,MEM,313,21
Desmond Bane,Luke Kennard,MEM,310,26
Desmond Bane,Santi Aldama,MEM,301,34
Luke Kennard,Desmond Bane,MEM,300,22
Desmond Bane,Jaylen Wells,MEM,290,45
Luke Kennard,Jaren Jackson Jr.,MEM,271,43
Zach Edey,Desmond Bane,MEM,269,19
Scotty Pippen Jr.,Luke Kennard,MEM,239,31
Zach Edey,Ja Morant,MEM,232,2
Scotty Pippen Jr.,Jaylen Wells,MEM,222,30
Ja Morant,Jaylen Wells,MEM,220,40
Luke Kennard,Scotty Pippen Jr.,MEM,216,17
Jaylen Wells,Desmond Bane,MEM,209,22
Brandon Clarke,Desmond Bane,MEM,207,8
Jaylen Wells,Ja Morant,MEM,198,17
Brandon Clarke,Scotty Pippen Jr.,MEM,194,8
Santi Aldama,Luke Kennard,MEM,192,12
Jaren Jackson Jr.,Luke Kennard,MEM,192,16
Santi Aldama,Jaren Jackson Jr.,MEM,188,27
Luke Kennard,Santi Aldama,MEM,187,32
Desmond Bane,Brandon Clarke,MEM,187,30
Brandon Clarke,Ja Morant,MEM,179,7
Ja Morant,Santi Aldama,MEM,179,43
Jaylen Wells,Scotty Pippen Jr.,MEM,172,20
Scotty Pippen Jr.,Brandon Clarke,MEM,166,35
Scotty Pippen Jr.,Ja Morant,MEM,156,10
Jaylen Wells,Jaren Jackson Jr.,MEM,155,17
Luke Kennard,Ja Morant,MEM,149,10
Ja Morant,Zach Edey,MEM,141,45
Zach Edey,Scotty Pippen Jr.,MEM,140,9
Jaren Jackson Jr.,Jaylen Wells,MEM,139,24
Ja Morant,Scotty Pippen Jr.,MEM,134,13
Scotty Pippen Jr.,Jay Huff,MEM,131,28
Desmond Bane,Zach Edey,MEM,130,20
Santi Aldama,Jaylen Wells,MEM,126,23
Ja Morant,Luke Kennard,MEM,123,7
Luke Kennard,Jaylen Wells,MEM,121,11
Ja Morant,Brandon Clarke,MEM,119,38
Jay Huff,Scotty Pippen Jr.,MEM,117,3
Zach Edey,Luke Kennard,MEM,116,13
Jaren Jackson Jr.,Santi Aldama,MEM,116,8
Luke Kennard,Zach Edey,MEM,115,21
Desmond Bane,Jay Huff,MEM,97,17
Zach Edey,Jaren Jackson Jr.,MEM,95,4
Jaren Jackson Jr.,Zach Edey,MEM,93,20
Jaylen Wells,Santi Aldama,MEM,89,11
Santi Aldama,Brandon Clarke,MEM,85,11
Brandon Clarke,Luke Kennard,MEM,85,9
Jaylen Wells,Luke Kennard,MEM,84,11
Brandon Clarke,Jaren Jackson Jr.,MEM,82,10
Luke Kennard,Brandon Clarke,MEM,81,13
Brandon Clarke,Santi Aldama,MEM,78,10
Jay Huff,Desmond Bane,MEM,74,6
Jay Huff,Santi Aldama,MEM,72,7
Luke Kennard,Jay Huff,MEM,70,14
Jaylen Wells,Zach Edey,MEM,69,13
Zach Edey,Jaylen Wells,MEM,68,7
Santi Aldama,Jay Huff,MEM,68,9
Brandon Clarke,Jaylen Wells,MEM,67,6
Santi Aldama,Zach Edey,MEM,66,14
Jaren Jackson Jr.,Brandon Clarke,MEM,65,7
Scotty Pippen Jr.,Zach Edey,MEM,59,12
Zach Edey,Santi Aldama,MEM,53,3
Jay Huff,Luke Kennard,MEM,49,2
Jaylen Wells,Brandon Clarke,MEM,46,8
Ja Morant,Jay Huff,MEM,46,18
Jay Huff,Ja Morant,MEM,39,0
Jay Huff,Jaylen Wells,MEM,32,5
Jaren Jackson Jr.,Jay Huff,MEM,24,5
Jaylen Wells,Jay Huff,MEM,24,5
Jay Huff,Jaren Jackson Jr.,MEM,24,1
Brandon Clarke,Jay Huff,MEM,9,1
Jay Huff,Brandon Clarke,MEM,7,0
Jay Huff,Zach Edey,MEM,3,1
Zach Edey,Brandon Clarke,MEM,1,0
Zach Edey,Jay Huff,MEM,1,0
Luke Kennard,Luke Kennard,MEM,1,0
