Passer,Receiver,Team,Passes,Assists
Jalen Duren,Cade Cunningham,DET,1288,55
Tobias Harris,Cade Cunningham,DET,864,24
Cade Cunningham,Tobias Harris,DET,812,90
Cade Cunningham,Malik Beasley,DET,626,102
Cade Cunningham,Tim Hardaway Jr.,DET,579,94
Tim Hardaway Jr.,Cade Cunningham,DET,574,22
Cade Cunningham,Jalen Duren,DET,552,129
Malik Beasley,Cade Cunningham,DET,447,15
Cade Cunningham,Ausar Thompson,DET,395,71
Isaiah Stewart,Cade Cunningham,DET,376,25
Ausar Thompson,Cade Cunningham,DET,368,23
Cade Cunningham,Jaden Ivey,DET,350,33
Jaden Ivey,Cade Cunningham,DET,274,13
Simone Fontecchio,Cade Cunningham,DET,272,3
Jalen Duren,Ausar Thompson,DET,228,27
Ronald Holland II,Cade Cunningham,DET,225,6
Tobias Harris,Tim Hardaway Jr.,DET,221,34
Jalen Duren,Tobias Harris,DET,213,29
Tobias Harris,Jaden Ivey,DET,208,16
Cade Cunningham,Isaiah Stewart,DET,200,36
Malik Beasley,Isaiah Stewart,DET,198,23
Tobias Harris,Malik Beasley,DET,196,28
Jalen Duren,Jaden Ivey,DET,187,16
Isaiah Stewart,Malik Beasley,DET,184,27
Tim Hardaway Jr.,Tobias Harris,DET,179,29
Cade Cunningham,Ronald Holland II,DET,176,31
Jaden Ivey,Malik Beasley,DET,175,23
Cade Cunningham,Simone Fontecchio,DET,172,19
Tobias Harris,Jalen Duren,DET,170,17
Ausar Thompson,Jalen Duren,DET,168,24
Jalen Duren,Tim Hardaway Jr.,DET,167,24
Jalen Duren,Malik Beasley,DET,167,32
Jaden Ivey,Tobias Harris,DET,161,18
Malik Beasley,Jalen Duren,DET,156,17
Tim Hardaway Jr.,Jalen Duren,DET,152,14
Simone Fontecchio,Malik Beasley,DET,152,29
Simone Fontecchio,Jaden Ivey,DET,139,5
Malik Beasley,Jaden Ivey,DET,137,7
Tobias Harris,Ausar Thompson,DET,135,11
Ausar Thompson,Tobias Harris,DET,134,21
Ausar Thompson,Tim Hardaway Jr.,DET,131,24
Jaden Ivey,Jalen Duren,DET,130,15
Ronald Holland II,Malik Beasley,DET,126,26
Simone Fontecchio,Ronald Holland II,DET,124,5
Isaiah Stewart,Ronald Holland II,DET,120,12
Malik Beasley,Tobias Harris,DET,120,17
Jaden Ivey,Tim Hardaway Jr.,DET,114,16
Ronald Holland II,Jaden Ivey,DET,113,1
Tim Hardaway Jr.,Jaden Ivey,DET,108,6
Tim Hardaway Jr.,Ausar Thompson,DET,105,16
Isaiah Stewart,Jaden Ivey,DET,103,11
Jaden Ivey,Simone Fontecchio,DET,103,11
Isaiah Stewart,Tobias Harris,DET,102,11
Isaiah Stewart,Simone Fontecchio,DET,95,18
Ausar Thompson,Malik Beasley,DET,95,15
Tim Hardaway Jr.,Malik Beasley,DET,94,20
Ronald Holland II,Simone Fontecchio,DET,91,11
Ronald Holland II,Isaiah Stewart,DET,87,13
Malik Beasley,Tim Hardaway Jr.,DET,84,8
Jaden Ivey,Isaiah Stewart,DET,77,7
Malik Beasley,Ronald Holland II,DET,71,10
Malik Beasley,Simone Fontecchio,DET,69,10
Simone Fontecchio,Isaiah Stewart,DET,69,6
Isaiah Stewart,Tim Hardaway Jr.,DET,66,5
Tobias Harris,Isaiah Stewart,DET,66,6
Malik Beasley,Ausar Thompson,DET,63,6
Jaden Ivey,Ronald Holland II,DET,56,5
Tobias Harris,Ronald Holland II,DET,51,6
Tim Hardaway Jr.,Isaiah Stewart,DET,48,2
Tobias Harris,Simone Fontecchio,DET,44,5
Ausar Thompson,Isaiah Stewart,DET,43,6
Ronald Holland II,Tim Hardaway Jr.,DET,39,7
Isaiah Stewart,Ausar Thompson,DET,38,5
Jalen Duren,Ronald Holland II,DET,38,6
Ronald Holland II,Tobias Harris,DET,36,2
Jaden Ivey,Ausar Thompson,DET,34,2
Ausar Thompson,Jaden Ivey,DET,34,2
Ausar Thompson,Simone Fontecchio,DET,33,6
Simone Fontecchio,Tobias Harris,DET,31,4
Ronald Holland II,Jalen Duren,DET,30,2
Simone Fontecchio,Ausar Thompson,DET,28,1
Simone Fontecchio,Tim Hardaway Jr.,DET,22,1
Tim Hardaway Jr.,Simone Fontecchio,DET,21,2
Ronald Holland II,Ausar Thompson,DET,21,1
Jalen Duren,Simone Fontecchio,DET,20,6
Ausar Thompson,Ronald Holland II,DET,18,2
Simone Fontecchio,Jalen Duren,DET,17,1
Tim Hardaway Jr.,Ronald Holland II,DET,16,4
