Passer,Receiver,Team,Passes,Assists
Dejounte Murray,CJ McCollum,NOP,490,50
CJ McCollum,Trey Murphy III,NOP,411,65
CJ McCollum,Dejounte Murray,NOP,377,12
Trey Murphy III,CJ McCollum,NOP,371,44
Trey Murphy III,Dejounte Murray,NOP,351,15
Dejounte Murray,Trey Murphy III,NOP,341,43
Jose Alvarado,Zion Williamson,NOP,297,34
Yves Missi,CJ McCollum,NOP,284,20
Yves Missi,Dejounte Murray,NOP,272,12
Jose Alvarado,Trey Murphy III,NOP,254,29
Jose Alvarado,Jordan Hawkins,NOP,252,31
Jordan Hawkins,Jose Alvarado,NOP,235,6
Trey Murphy III,Jose Alvarado,NOP,227,14
CJ McCollum,Zion Williamson,NOP,222,24
Zion Williamson,Jose Alvarado,NOP,218,23
Zion Williamson,CJ McCollum,NOP,218,21
CJ McCollum,Yves Missi,NOP,214,23
Jeremiah Robinson-Earl,Jose Alvarado,NOP,212,5
Dejounte Murray,Yves Missi,NOP,209,36
Jose Alvarado,Yves Missi,NOP,204,28
Yves Missi,Trey Murphy III,NOP,198,10
Yves Missi,Jose Alvarado,NOP,195,6
Zion Williamson,Trey Murphy III,NOP,190,30
Jose Alvarado,CJ McCollum,NOP,186,23
Jeremiah Robinson-Earl,Brandon Boston,NOP,162,8
Trey Murphy III,Zion Williamson,NOP,157,19
Trey Murphy III,Yves Missi,NOP,149,22
Zion Williamson,Jordan Hawkins,NOP,137,27
Jordan Hawkins,Zion Williamson,NOP,135,7
CJ McCollum,Jose Alvarado,NOP,130,13
Jordan Hawkins,CJ McCollum,NOP,129,6
Brandon Boston,Jose Alvarado,NOP,126,1
Brandon Boston,Dejounte Murray,NOP,124,1
Brandon Boston,Trey Murphy III,NOP,116,14
Jose Alvarado,Karlo Matković,NOP,111,22
Yves Missi,Zion Williamson,NOP,110,6
Brandon Boston,CJ McCollum,NOP,110,4
Jordan Hawkins,Trey Murphy III,NOP,110,3
CJ McCollum,Jordan Hawkins,NOP,109,16
Trey Murphy III,Brandon Boston,NOP,102,8
Dejounte Murray,Brandon Boston,NOP,100,16
Jose Alvarado,Jeremiah Robinson-Earl,NOP,98,16
Karlo Matković,Jose Alvarado,NOP,98,6
Trey Murphy III,Jordan Hawkins,NOP,98,16
Jeremiah Robinson-Earl,CJ McCollum,NOP,98,6
Jose Alvarado,Brandon Boston,NOP,95,10
Brandon Boston,Yves Missi,NOP,92,6
Dejounte Murray,Jordan Hawkins,NOP,91,17
Jeremiah Robinson-Earl,Jordan Hawkins,NOP,90,12
Brandon Boston,Jeremiah Robinson-Earl,NOP,86,9
Karlo Matković,Trey Murphy III,NOP,86,7
Zion Williamson,Yves Missi,NOP,85,10
Yves Missi,Brandon Boston,NOP,83,1
Jordan Hawkins,Dejounte Murray,NOP,80,4
Jeremiah Robinson-Earl,Dejounte Murray,NOP,80,2
Yves Missi,Jordan Hawkins,NOP,79,4
Dejounte Murray,Zion Williamson,NOP,78,6
Karlo Matković,CJ McCollum,NOP,76,5
Karlo Matković,Jordan Hawkins,NOP,74,2
Zion Williamson,Dejounte Murray,NOP,67,7
Jordan Hawkins,Brandon Boston,NOP,65,3
CJ McCollum,Brandon Boston,NOP,64,10
Brandon Boston,Jordan Hawkins,NOP,59,5
Trey Murphy III,Karlo Matković,NOP,57,13
Karlo Matković,Zion Williamson,NOP,57,2
Jeremiah Robinson-Earl,Trey Murphy III,NOP,57,11
CJ McCollum,Karlo Matković,NOP,55,4
Jeremiah Robinson-Earl,Zion Williamson,NOP,55,4
CJ McCollum,Jeremiah Robinson-Earl,NOP,54,6
Jordan Hawkins,Karlo Matković,NOP,53,8
Dejounte Murray,Jeremiah Robinson-Earl,NOP,47,3
Jordan Hawkins,Jeremiah Robinson-Earl,NOP,46,5
Brandon Boston,Zion Williamson,NOP,46,2
Jordan Hawkins,Yves Missi,NOP,46,4
Trey Murphy III,Jeremiah Robinson-Earl,NOP,41,7
Zion Williamson,Karlo Matković,NOP,40,8
Karlo Matković,Jeremiah Robinson-Earl,NOP,34,5
Zion Williamson,Brandon Boston,NOP,34,6
Jeremiah Robinson-Earl,Yves Missi,NOP,32,2
Zion Williamson,Jeremiah Robinson-Earl,NOP,31,5
Jeremiah Robinson-Earl,Karlo Matković,NOP,29,3
Yves Missi,Jeremiah Robinson-Earl,NOP,28,8
Dejounte Murray,Jose Alvarado,NOP,19,2
Jose Alvarado,Dejounte Murray,NOP,17,0
Karlo Matković,Brandon Boston,NOP,12,0
Brandon Boston,Karlo Matković,NOP,8,1
Yves Missi,Karlo Matković,NOP,5,0
Dejounte Murray,Karlo Matković,NOP,4,1
Karlo Matković,Dejounte Murray,NOP,4,0
Karlo Matković,Yves Missi,NOP,3,0
