Passer,Receiver,Team,Passes,Assists
Kelly Oubre Jr.,Tyrese Maxey,PHI,708,23
Guerschon Yabusele,Tyrese Maxey,PHI,570,21
Paul George,Tyrese Maxey,PHI,564,32
Tyrese Maxey,Kelly Oubre Jr.,PHI,529,64
Tyrese Maxey,Paul George,PHI,491,31
Tyrese Maxey,Guerschon Yabusele,PHI,398,46
Paul George,Guerschon Yabusele,PHI,217,35
Eric Gordon,Tyrese Maxey,PHI,214,8
Kelly Oubre Jr.,Paul George,PHI,208,11
Guerschon Yabusele,Kelly Oubre Jr.,PHI,207,22
Guerschon Yabusele,Paul George,PHI,203,15
Kelly Oubre Jr.,Guerschon Yabusele,PHI,190,15
Andre Drummond,Tyrese Maxey,PHI,181,4
Justin Edwards,Tyrese Maxey,PHI,175,11
Tyrese Maxey,Eric Gordon,PHI,174,26
Guerschon Yabusele,Quentin Grimes,PHI,169,12
Paul George,Kelly Oubre Jr.,PHI,162,25
Ricky Council IV,Tyrese Maxey,PHI,160,7
Justin Edwards,Quentin Grimes,PHI,156,10
Tyrese Maxey,Ricky Council IV,PHI,151,16
Tyrese Maxey,Justin Edwards,PHI,150,21
Quentin Grimes,Guerschon Yabusele,PHI,144,17
Justin Edwards,Guerschon Yabusele,PHI,116,12
Quentin Grimes,Justin Edwards,PHI,110,15
Tyrese Maxey,Andre Drummond,PHI,107,5
Guerschon Yabusele,Justin Edwards,PHI,102,8
Adem Bona,Tyrese Maxey,PHI,102,1
Andre Drummond,Paul George,PHI,102,5
Tyrese Maxey,Quentin Grimes,PHI,95,10
Quentin Grimes,Tyrese Maxey,PHI,95,3
Guerschon Yabusele,Ricky Council IV,PHI,92,11
Andre Drummond,Kelly Oubre Jr.,PHI,91,9
Eric Gordon,Guerschon Yabusele,PHI,89,18
Adem Bona,Quentin Grimes,PHI,85,4
Kelly Oubre Jr.,Eric Gordon,PHI,85,8
Paul George,Quentin Grimes,PHI,82,7
Ricky Council IV,Guerschon Yabusele,PHI,82,9
Paul George,Andre Drummond,PHI,79,16
Guerschon Yabusele,Eric Gordon,PHI,78,8
Quentin Grimes,Kelly Oubre Jr.,PHI,78,10
Kelly Oubre Jr.,Justin Edwards,PHI,76,3
Ricky Council IV,Justin Edwards,PHI,75,9
Quentin Grimes,Ricky Council IV,PHI,74,8
Adem Bona,Ricky Council IV,PHI,73,4
Justin Edwards,Kelly Oubre Jr.,PHI,72,7
Justin Edwards,Ricky Council IV,PHI,71,3
Kelly Oubre Jr.,Quentin Grimes,PHI,70,3
Kelly Oubre Jr.,Andre Drummond,PHI,70,12
Quentin Grimes,Paul George,PHI,70,2
Ricky Council IV,Quentin Grimes,PHI,68,4
Kelly Oubre Jr.,Ricky Council IV,PHI,68,3
Ricky Council IV,Kelly Oubre Jr.,PHI,68,8
Eric Gordon,Kelly Oubre Jr.,PHI,65,5
Andre Drummond,Quentin Grimes,PHI,58,2
Quentin Grimes,Andre Drummond,PHI,53,6
Ricky Council IV,Adem Bona,PHI,52,11
Paul George,Eric Gordon,PHI,50,7
Tyrese Maxey,Adem Bona,PHI,47,6
Quentin Grimes,Adem Bona,PHI,46,13
Eric Gordon,Paul George,PHI,43,4
Adem Bona,Justin Edwards,PHI,42,3
Kelly Oubre Jr.,Adem Bona,PHI,40,4
Eric Gordon,Ricky Council IV,PHI,39,5
Adem Bona,Kelly Oubre Jr.,PHI,38,2
Justin Edwards,Paul George,PHI,36,1
Paul George,Justin Edwards,PHI,33,3
Justin Edwards,Adem Bona,PHI,32,2
Ricky Council IV,Eric Gordon,PHI,27,1
Paul George,Ricky Council IV,PHI,26,2
Paul George,Adem Bona,PHI,25,2
Andre Drummond,Guerschon Yabusele,PHI,24,2
Ricky Council IV,Paul George,PHI,24,1
Adem Bona,Paul George,PHI,24,0
Eric Gordon,Andre Drummond,PHI,23,4
Eric Gordon,Justin Edwards,PHI,22,4
Justin Edwards,Eric Gordon,PHI,21,2
Andre Drummond,Eric Gordon,PHI,18,2
Guerschon Yabusele,Andre Drummond,PHI,17,4
Andre Drummond,Justin Edwards,PHI,16,1
Adem Bona,Eric Gordon,PHI,15,0
Justin Edwards,Andre Drummond,PHI,15,1
Andre Drummond,Ricky Council IV,PHI,14,1
Guerschon Yabusele,Adem Bona,PHI,11,3
Eric Gordon,Adem Bona,PHI,10,2
Ricky Council IV,Andre Drummond,PHI,9,1
Adem Bona,Guerschon Yabusele,PHI,7,0
Quentin Grimes,Eric Gordon,PHI,6,0
Eric Gordon,Quentin Grimes,PHI,4,0
Ricky Council IV,Ricky Council IV,PHI,1,0
Paul George,Paul George,PHI,1,0
