Passer,Receiver,Team,Passes,Assists
Josh Hart,Jalen Brunson,NYK,1440,54
Jalen Brunson,Mikal Bridges,NYK,1063,121
Jalen Brunson,Josh Hart,NYK,980,98
Karl-Anthony Towns,Jalen Brunson,NYK,828,33
Mikal Bridges,Jalen Brunson,NYK,780,38
Josh Hart,Mikal Bridges,NYK,706,105
Jalen Brunson,Karl-Anthony Towns,NYK,640,96
OG Anunoby,Jalen Brunson,NYK,598,17
Josh Hart,Karl-Anthony Towns,NYK,552,94
Mikal Bridges,Josh Hart,NYK,534,58
Josh Hart,OG Anunoby,NYK,514,103
Karl-Anthony Towns,Josh Hart,NYK,501,41
Jalen Brunson,OG Anunoby,NYK,491,77
Mikal Bridges,Karl-Anthony Towns,NYK,425,64
OG Anunoby,Josh Hart,NYK,420,24
Mikal Bridges,OG Anunoby,NYK,396,67
Karl-Anthony Towns,Mikal Bridges,NYK,372,61
Cameron Payne,Karl-Anthony Towns,NYK,350,65
Precious Achiuwa,Jalen Brunson,NYK,342,7
Josh Hart,Miles McBride,NYK,333,28
Miles McBride,Jalen Brunson,NYK,328,13
Cameron Payne,Mikal Bridges,NYK,305,32
OG Anunoby,Mikal Bridges,NYK,305,37
Miles McBride,Mikal Bridges,NYK,298,45
Miles McBride,Cameron Payne,NYK,292,18
Karl-Anthony Towns,Cameron Payne,NYK,281,6
Josh Hart,Cameron Payne,NYK,281,16
Cameron Payne,Miles McBride,NYK,270,17
Miles McBride,Josh Hart,NYK,260,17
Jalen Brunson,Miles McBride,NYK,254,28
Mikal Bridges,Miles McBride,NYK,249,15
Mikal Bridges,Cameron Payne,NYK,246,16
Cameron Payne,Josh Hart,NYK,239,12
Miles McBride,Karl-Anthony Towns,NYK,232,42
Karl-Anthony Towns,OG Anunoby,NYK,223,53
Karl-Anthony Towns,Miles McBride,NYK,209,8
OG Anunoby,Karl-Anthony Towns,NYK,201,39
OG Anunoby,Cameron Payne,NYK,174,10
Precious Achiuwa,Cameron Payne,NYK,171,3
Cameron Payne,OG Anunoby,NYK,151,27
Jalen Brunson,Precious Achiuwa,NYK,143,19
OG Anunoby,Miles McBride,NYK,141,13
Miles McBride,OG Anunoby,NYK,137,20
Precious Achiuwa,Miles McBride,NYK,126,8
Precious Achiuwa,Josh Hart,NYK,124,5
Josh Hart,Precious Achiuwa,NYK,119,18
Mikal Bridges,Precious Achiuwa,NYK,118,15
Precious Achiuwa,Mikal Bridges,NYK,117,10
Cameron Payne,Landry Shamet,NYK,116,16
Cameron Payne,Precious Achiuwa,NYK,112,13
Landry Shamet,Cameron Payne,NYK,108,0
Miles McBride,Precious Achiuwa,NYK,99,14
Delon Wright,Mikal Bridges,NYK,84,4
Josh Hart,Delon Wright,NYK,73,8
Precious Achiuwa,OG Anunoby,NYK,68,9
Karl-Anthony Towns,Precious Achiuwa,NYK,65,14
Delon Wright,Josh Hart,NYK,64,2
Delon Wright,OG Anunoby,NYK,64,7
Josh Hart,Landry Shamet,NYK,62,11
Landry Shamet,Karl-Anthony Towns,NYK,61,10
Mikal Bridges,Delon Wright,NYK,61,2
Cameron Payne,Jalen Brunson,NYK,60,3
Landry Shamet,Miles McBride,NYK,55,2
Mikal Bridges,Landry Shamet,NYK,55,17
OG Anunoby,Precious Achiuwa,NYK,52,11
Landry Shamet,Josh Hart,NYK,49,1
Landry Shamet,Precious Achiuwa,NYK,47,5
Jalen Brunson,Cameron Payne,NYK,47,7
Miles McBride,Landry Shamet,NYK,47,7
OG Anunoby,Delon Wright,NYK,46,2
Precious Achiuwa,Landry Shamet,NYK,45,7
Jalen Brunson,Landry Shamet,NYK,38,6
Precious Achiuwa,Karl-Anthony Towns,NYK,37,4
Delon Wright,Landry Shamet,NYK,36,5
Landry Shamet,Mikal Bridges,NYK,36,3
Karl-Anthony Towns,Landry Shamet,NYK,34,5
Karl-Anthony Towns,Delon Wright,NYK,34,0
Landry Shamet,OG Anunoby,NYK,26,2
Delon Wright,Karl-Anthony Towns,NYK,26,4
Landry Shamet,Jalen Brunson,NYK,25,0
Delon Wright,Cameron Payne,NYK,23,1
Precious Achiuwa,Delon Wright,NYK,21,0
OG Anunoby,Landry Shamet,NYK,20,2
Landry Shamet,Delon Wright,NYK,18,0
Delon Wright,Precious Achiuwa,NYK,16,1
Cameron Payne,Delon Wright,NYK,9,0
Delon Wright,Miles McBride,NYK,6,1
Miles McBride,Delon Wright,NYK,4,1
