Passer,Receiver,Team,Passes,Assists
Anthony Edwards,Julius Randle,MIN,769,59
Julius Randle,Anthony Edwards,MIN,739,81
Mike Conley,Anthony Edwards,MIN,737,61
Mike Conley,Julius Randle,MIN,643,44
Nickeil Alexander-Walker,Anthony Edwards,MIN,624,31
Rudy Gobert,Anthony Edwards,MIN,622,26
Anthony Edwards,Mike Conley,MIN,598,24
Jaden McDaniels,Anthony Edwards,MIN,570,31
Naz Reid,Anthony Edwards,MIN,559,26
Jaden McDaniels,Mike Conley,MIN,553,16
Naz Reid,Nickeil Alexander-Walker,MIN,546,35
Rudy Gobert,Mike Conley,MIN,546,21
Donte DiVincenzo,Anthony Edwards,MIN,512,34
Julius Randle,Mike Conley,MIN,491,40
Nickeil Alexander-Walker,Naz Reid,MIN,451,57
Donte DiVincenzo,Julius Randle,MIN,443,50
Anthony Edwards,Jaden McDaniels,MIN,437,68
Anthony Edwards,Naz Reid,MIN,436,57
Naz Reid,Donte DiVincenzo,MIN,402,21
Anthony Edwards,Nickeil Alexander-Walker,MIN,391,32
Nickeil Alexander-Walker,Donte DiVincenzo,MIN,383,29
Mike Conley,Rudy Gobert,MIN,379,49
Donte DiVincenzo,Nickeil Alexander-Walker,MIN,379,32
Mike Conley,Jaden McDaniels,MIN,372,54
Anthony Edwards,Donte DiVincenzo,MIN,367,36
Naz Reid,Mike Conley,MIN,363,12
Anthony Edwards,Rudy Gobert,MIN,363,61
Jaden McDaniels,Julius Randle,MIN,363,28
Donte DiVincenzo,Naz Reid,MIN,358,40
Nickeil Alexander-Walker,Julius Randle,MIN,347,30
Mike Conley,Naz Reid,MIN,345,52
Rudy Gobert,Nickeil Alexander-Walker,MIN,342,15
Julius Randle,Donte DiVincenzo,MIN,337,44
Julius Randle,Jaden McDaniels,MIN,305,49
Julius Randle,Nickeil Alexander-Walker,MIN,295,25
Jaden McDaniels,Nickeil Alexander-Walker,MIN,289,24
Nickeil Alexander-Walker,Mike Conley,MIN,273,8
Rudy Gobert,Donte DiVincenzo,MIN,239,11
Mike Conley,Nickeil Alexander-Walker,MIN,224,24
Nickeil Alexander-Walker,Jaden McDaniels,MIN,205,17
Mike Conley,Donte DiVincenzo,MIN,194,25
Naz Reid,Jaden McDaniels,MIN,194,28
Julius Randle,Naz Reid,MIN,191,42
Jaden McDaniels,Donte DiVincenzo,MIN,190,16
Rudy Gobert,Julius Randle,MIN,190,9
Rudy Gobert,Jaden McDaniels,MIN,189,32
Nickeil Alexander-Walker,Rudy Gobert,MIN,189,25
Donte DiVincenzo,Mike Conley,MIN,186,6
Jaden McDaniels,Naz Reid,MIN,181,23
Donte DiVincenzo,Rudy Gobert,MIN,174,32
Naz Reid,Julius Randle,MIN,173,13
Naz Reid,Rob Dillingham,MIN,172,10
Nickeil Alexander-Walker,Rob Dillingham,MIN,156,3
Donte DiVincenzo,Jaden McDaniels,MIN,154,17
Rob Dillingham,Naz Reid,MIN,149,27
Julius Randle,Rudy Gobert,MIN,149,33
Jaden McDaniels,Rudy Gobert,MIN,129,18
Rob Dillingham,Nickeil Alexander-Walker,MIN,121,14
Rob Dillingham,Anthony Edwards,MIN,108,6
Rudy Gobert,Naz Reid,MIN,94,8
Anthony Edwards,Rob Dillingham,MIN,93,6
Rudy Gobert,Rob Dillingham,MIN,83,0
Naz Reid,Rudy Gobert,MIN,67,12
Jaden McDaniels,Rob Dillingham,MIN,60,1
Rob Dillingham,Julius Randle,MIN,53,4
Nickeil Alexander-Walker,Jaylen Clark,MIN,50,7
Naz Reid,Jaylen Clark,MIN,45,13
Julius Randle,Rob Dillingham,MIN,45,3
Jaylen Clark,Nickeil Alexander-Walker,MIN,44,6
Donte DiVincenzo,Rob Dillingham,MIN,41,1
Rob Dillingham,Donte DiVincenzo,MIN,37,1
Rob Dillingham,Jaden McDaniels,MIN,36,5
Anthony Edwards,Jaylen Clark,MIN,33,4
Jaylen Clark,Anthony Edwards,MIN,31,4
Jaylen Clark,Naz Reid,MIN,30,3
Rob Dillingham,Rudy Gobert,MIN,30,3
Mike Conley,Jaylen Clark,MIN,28,6
Jaylen Clark,Rob Dillingham,MIN,24,1
Jaylen Clark,Donte DiVincenzo,MIN,22,4
Jaden McDaniels,Jaylen Clark,MIN,22,2
Mike Conley,Rob Dillingham,MIN,21,1
Rob Dillingham,Jaylen Clark,MIN,20,3
Rob Dillingham,Mike Conley,MIN,18,1
Jaylen Clark,Julius Randle,MIN,17,2
Jaylen Clark,Mike Conley,MIN,16,1
Jaylen Clark,Jaden McDaniels,MIN,14,1
Julius Randle,Jaylen Clark,MIN,13,0
Donte DiVincenzo,Jaylen Clark,MIN,13,2
Rudy Gobert,Jaylen Clark,MIN,10,0
Jaylen Clark,Rudy Gobert,MIN,5,0
Julius Randle,Julius Randle,MIN,1,0
