Passer,Receiver,Team,Passes,Assists
Austin Reaves,LeBron James,LAL,1198,102
LeBron James,Austin Reaves,LAL,1127,105
LeBron James,Rui Hachimura,LAL,424,102
Austin Reaves,Luka Dončić,LAL,408,18
Rui Hachimura,Austin Reaves,LAL,399,15
Rui Hachimura,LeBron James,LAL,371,19
Luka Dončić,LeBron James,LAL,331,42
Dorian Finney-Smith,Austin Reaves,LAL,329,8
Luka Dončić,Austin Reaves,LAL,318,26
Austin Reaves,Rui Hachimura,LAL,315,54
Gabe Vincent,LeBron James,LAL,309,5
Jaxson Hayes,LeBron James,LAL,297,13
LeBron James,Gabe Vincent,LAL,291,35
Dalton Knecht,Austin Reaves,LAL,287,11
LeBron James,Luka Dončić,LAL,284,17
Dalton Knecht,LeBron James,LAL,266,7
Austin Reaves,Dalton Knecht,LAL,257,40
Jaxson Hayes,Austin Reaves,LAL,253,12
Austin Reaves,Dorian Finney-Smith,LAL,249,23
Gabe Vincent,Austin Reaves,LAL,245,12
Dorian Finney-Smith,Luka Dončić,LAL,244,11
LeBron James,Dalton Knecht,LAL,241,43
Dorian Finney-Smith,LeBron James,LAL,235,12
Gabe Vincent,Luka Dončić,LAL,214,10
Austin Reaves,Gabe Vincent,LAL,213,19
Luka Dončić,Dorian Finney-Smith,LAL,203,23
LeBron James,Jaxson Hayes,LAL,195,51
LeBron James,Dorian Finney-Smith,LAL,184,27
Jaxson Hayes,Luka Dončić,LAL,166,3
Jarred Vanderbilt,Austin Reaves,LAL,163,8
Austin Reaves,Jaxson Hayes,LAL,145,22
Luka Dončić,Gabe Vincent,LAL,145,21
Luka Dončić,Jaxson Hayes,LAL,127,38
Rui Hachimura,Gabe Vincent,LAL,126,5
Dalton Knecht,Gabe Vincent,LAL,126,3
Dorian Finney-Smith,Gabe Vincent,LAL,110,7
Gabe Vincent,Dalton Knecht,LAL,105,15
Jarred Vanderbilt,LeBron James,LAL,97,7
Jarred Vanderbilt,Luka Dončić,LAL,97,4
Austin Reaves,Jarred Vanderbilt,LAL,95,9
Rui Hachimura,Luka Dončić,LAL,87,2
Jaxson Hayes,Gabe Vincent,LAL,87,8
Luka Dončić,Rui Hachimura,LAL,86,17
Gabe Vincent,Rui Hachimura,LAL,80,5
Gabe Vincent,Dorian Finney-Smith,LAL,71,10
Dalton Knecht,Luka Dončić,LAL,68,3
Gabe Vincent,Jaxson Hayes,LAL,68,8
LeBron James,Jarred Vanderbilt,LAL,65,14
Jarred Vanderbilt,Gabe Vincent,LAL,61,5
Luka Dončić,Jarred Vanderbilt,LAL,61,13
Dalton Knecht,Rui Hachimura,LAL,60,6
Rui Hachimura,Dalton Knecht,LAL,53,11
Luka Dončić,Dalton Knecht,LAL,51,7
Jaxson Hayes,Dorian Finney-Smith,LAL,45,5
Jaxson Hayes,Dalton Knecht,LAL,39,7
Dorian Finney-Smith,Rui Hachimura,LAL,37,6
Rui Hachimura,Dorian Finney-Smith,LAL,36,5
Jarred Vanderbilt,Dorian Finney-Smith,LAL,31,5
Dalton Knecht,Jaxson Hayes,LAL,26,3
Dorian Finney-Smith,Jaxson Hayes,LAL,24,3
Jarred Vanderbilt,Dalton Knecht,LAL,24,5
Gabe Vincent,Jarred Vanderbilt,LAL,23,1
Jaxson Hayes,Rui Hachimura,LAL,22,5
Dalton Knecht,Dorian Finney-Smith,LAL,21,6
Dorian Finney-Smith,Dalton Knecht,LAL,21,4
Dalton Knecht,Jarred Vanderbilt,LAL,16,1
Rui Hachimura,Jaxson Hayes,LAL,16,2
Dorian Finney-Smith,Jarred Vanderbilt,LAL,9,2
Jarred Vanderbilt,Rui Hachimura,LAL,8,0
Jaxson Hayes,Jarred Vanderbilt,LAL,6,1
Jarred Vanderbilt,Jaxson Hayes,LAL,6,1
Rui Hachimura,Jarred Vanderbilt,LAL,4,0
