Passer,Receiver,Team,Passes,Assists
Josh Giddey,Nikola Vučević,CHI,1064,133
Nikola Vučević,Josh Giddey,CHI,819,41
Nikola Vučević,Coby White,CHI,665,40
Josh Giddey,Coby White,CHI,659,56
Coby White,Nikola Vučević,CHI,524,66
Coby White,Josh Giddey,CHI,516,49
Patrick Williams,Josh Giddey,CHI,387,15
Ayo Dosunmu,Nikola Vučević,CHI,371,49
Nikola Vučević,Ayo Dosunmu,CHI,367,28
Ayo Dosunmu,Coby White,CHI,318,34
Josh Giddey,Ayo Dosunmu,CHI,308,38
Coby White,Ayo Dosunmu,CHI,307,24
Ayo Dosunmu,Josh Giddey,CHI,286,19
Patrick Williams,Coby White,CHI,285,19
Matas Buzelis,Josh Giddey,CHI,282,11
Jalen Smith,Coby White,CHI,282,9
Josh Giddey,Patrick Williams,CHI,258,26
Josh Giddey,Matas Buzelis,CHI,235,40
Dalen Terry,Coby White,CHI,231,12
Nikola Vučević,Patrick Williams,CHI,231,25
Matas Buzelis,Coby White,CHI,221,13
Josh Giddey,Jalen Smith,CHI,217,33
Coby White,Jalen Smith,CHI,206,37
Patrick Williams,Nikola Vučević,CHI,198,29
Jalen Smith,Josh Giddey,CHI,198,7
Coby White,Patrick Williams,CHI,190,26
Nikola Vučević,Matas Buzelis,CHI,188,34
Kevin Huerter,Josh Giddey,CHI,176,12
Nikola Vučević,Kevin Huerter,CHI,168,12
Dalen Terry,Josh Giddey,CHI,165,3
Coby White,Matas Buzelis,CHI,163,19
Ayo Dosunmu,Patrick Williams,CHI,160,13
Patrick Williams,Ayo Dosunmu,CHI,159,9
Matas Buzelis,Nikola Vučević,CHI,154,5
Josh Giddey,Kevin Huerter,CHI,154,28
Josh Giddey,Dalen Terry,CHI,154,13
Julian Phillips,Coby White,CHI,149,5
Coby White,Dalen Terry,CHI,147,12
Kevin Huerter,Coby White,CHI,142,8
Jalen Smith,Ayo Dosunmu,CHI,141,4
Kevin Huerter,Nikola Vučević,CHI,132,17
Ayo Dosunmu,Jalen Smith,CHI,124,19
Julian Phillips,Ayo Dosunmu,CHI,121,2
Julian Phillips,Josh Giddey,CHI,121,2
Coby White,Kevin Huerter,CHI,118,18
Jalen Smith,Dalen Terry,CHI,111,6
Nikola Vučević,Dalen Terry,CHI,110,6
Dalen Terry,Nikola Vučević,CHI,108,9
Dalen Terry,Ayo Dosunmu,CHI,106,3
Coby White,Julian Phillips,CHI,104,16
Dalen Terry,Jalen Smith,CHI,102,10
Matas Buzelis,Ayo Dosunmu,CHI,101,4
Ayo Dosunmu,Dalen Terry,CHI,95,8
Ayo Dosunmu,Julian Phillips,CHI,91,13
Ayo Dosunmu,Matas Buzelis,CHI,84,15
Josh Giddey,Julian Phillips,CHI,80,16
Patrick Williams,Dalen Terry,CHI,78,6
Dalen Terry,Matas Buzelis,CHI,76,14
Dalen Terry,Patrick Williams,CHI,74,11
Julian Phillips,Dalen Terry,CHI,69,3
Matas Buzelis,Dalen Terry,CHI,67,3
Nikola Vučević,Julian Phillips,CHI,64,5
Kevin Huerter,Matas Buzelis,CHI,64,15
Jalen Smith,Patrick Williams,CHI,57,8
Patrick Williams,Jalen Smith,CHI,53,5
Dalen Terry,Julian Phillips,CHI,48,8
Jalen Smith,Matas Buzelis,CHI,45,4
Matas Buzelis,Kevin Huerter,CHI,45,9
Kevin Huerter,Dalen Terry,CHI,43,8
Kevin Huerter,Patrick Williams,CHI,40,5
Matas Buzelis,Jalen Smith,CHI,39,5
Julian Phillips,Kevin Huerter,CHI,38,5
Julian Phillips,Nikola Vučević,CHI,38,2
Matas Buzelis,Patrick Williams,CHI,37,4
Patrick Williams,Matas Buzelis,CHI,34,4
Jalen Smith,Julian Phillips,CHI,34,6
Kevin Huerter,Julian Phillips,CHI,31,5
Dalen Terry,Kevin Huerter,CHI,29,2
Julian Phillips,Patrick Williams,CHI,29,4
Patrick Williams,Kevin Huerter,CHI,29,1
Jalen Smith,Kevin Huerter,CHI,24,1
Patrick Williams,Julian Phillips,CHI,20,3
Julian Phillips,Jalen Smith,CHI,20,3
Kevin Huerter,Ayo Dosunmu,CHI,19,2
Ayo Dosunmu,Kevin Huerter,CHI,18,2
Julian Phillips,Matas Buzelis,CHI,17,1
Kevin Huerter,Jalen Smith,CHI,15,0
Matas Buzelis,Julian Phillips,CHI,8,1
Nikola Vučević,Jalen Smith,CHI,3,1
Josh Giddey,Josh Giddey,CHI,1,0
Jalen Smith,Nikola Vučević,CHI,1,0
