Passer,Receiver,Team,Passes,Assists
Ivica Zubac,James Harden,LAC,1389,50
Kris Dunn,James Harden,LAC,977,19
James Harden,Ivica Zubac,LAC,911,210
James Harden,Kris Dunn,LAC,722,56
James Harden,Norman Powell,LAC,639,114
Derrick Jones Jr.,James Harden,LAC,629,10
James Harden,Derrick Jones Jr.,LAC,529,108
James Harden,Kawhi Leonard,LAC,445,65
Ivica Zubac,Kris Dunn,LAC,409,19
Kris Dunn,Ivica Zubac,LAC,395,43
Norman Powell,James Harden,LAC,381,8
Nicolas Batum,James Harden,LAC,362,2
Ivica Zubac,Norman Powell,LAC,355,46
Kris Dunn,Norman Powell,LAC,312,52
Kawhi Leonard,James Harden,LAC,307,12
Amir Coffey,James Harden,LAC,276,8
Norman Powell,Ivica Zubac,LAC,253,43
James Harden,Amir Coffey,LAC,239,48
Bogdan Bogdanović,James Harden,LAC,231,6
James Harden,Bogdan Bogdanović,LAC,210,22
Kris Dunn,Kawhi Leonard,LAC,209,18
Ivica Zubac,Derrick Jones Jr.,LAC,195,32
James Harden,Nicolas Batum,LAC,194,16
Derrick Jones Jr.,Kris Dunn,LAC,192,3
Derrick Jones Jr.,Ivica Zubac,LAC,180,9
Kawhi Leonard,Ivica Zubac,LAC,175,32
Ivica Zubac,Kawhi Leonard,LAC,173,26
Norman Powell,Kris Dunn,LAC,172,8
Kris Dunn,Derrick Jones Jr.,LAC,171,22
Kris Dunn,Amir Coffey,LAC,168,25
Ben Simmons,Bogdan Bogdanović,LAC,167,11
Nicolas Batum,Kris Dunn,LAC,164,5
Kawhi Leonard,Kris Dunn,LAC,152,14
Amir Coffey,Kris Dunn,LAC,144,7
Derrick Jones Jr.,Norman Powell,LAC,144,15
Bogdan Bogdanović,Ben Simmons,LAC,117,9
Bogdan Bogdanović,Kawhi Leonard,LAC,115,12
Kris Dunn,Nicolas Batum,LAC,113,13
Ivica Zubac,Amir Coffey,LAC,110,11
Amir Coffey,Ivica Zubac,LAC,108,7
Bogdan Bogdanović,Ivica Zubac,LAC,108,22
Nicolas Batum,Norman Powell,LAC,105,12
Ivica Zubac,Bogdan Bogdanović,LAC,105,8
Nicolas Batum,Ivica Zubac,LAC,102,15
Norman Powell,Derrick Jones Jr.,LAC,98,19
Nicolas Batum,Amir Coffey,LAC,97,9
Derrick Jones Jr.,Amir Coffey,LAC,91,10
Kawhi Leonard,Norman Powell,LAC,88,15
Norman Powell,Kawhi Leonard,LAC,86,9
Nicolas Batum,Bogdan Bogdanović,LAC,85,8
Ben Simmons,James Harden,LAC,83,6
Amir Coffey,Derrick Jones Jr.,LAC,81,15
Derrick Jones Jr.,Kawhi Leonard,LAC,78,5
Kawhi Leonard,Bogdan Bogdanović,LAC,77,7
Kris Dunn,Bogdan Bogdanović,LAC,75,6
Derrick Jones Jr.,Bogdan Bogdanović,LAC,72,1
Nicolas Batum,Kawhi Leonard,LAC,72,5
Bogdan Bogdanović,Kris Dunn,LAC,71,8
Norman Powell,Amir Coffey,LAC,69,16
Bogdan Bogdanović,Derrick Jones Jr.,LAC,69,11
Kawhi Leonard,Derrick Jones Jr.,LAC,69,13
James Harden,Ben Simmons,LAC,68,4
Ivica Zubac,Nicolas Batum,LAC,63,9
Amir Coffey,Norman Powell,LAC,63,9
Amir Coffey,Nicolas Batum,LAC,63,4
Amir Coffey,Bogdan Bogdanović,LAC,59,5
Bogdan Bogdanović,Nicolas Batum,LAC,59,10
Ben Simmons,Derrick Jones Jr.,LAC,53,9
Bogdan Bogdanović,Amir Coffey,LAC,52,5
Ben Simmons,Kawhi Leonard,LAC,50,4
Kawhi Leonard,Nicolas Batum,LAC,47,8
Norman Powell,Nicolas Batum,LAC,47,6
Kawhi Leonard,Amir Coffey,LAC,45,9
Nicolas Batum,Derrick Jones Jr.,LAC,44,3
Nicolas Batum,Ben Simmons,LAC,43,0
Ben Simmons,Amir Coffey,LAC,42,7
Bogdan Bogdanović,Norman Powell,LAC,41,5
Derrick Jones Jr.,Ben Simmons,LAC,39,0
Amir Coffey,Kawhi Leonard,LAC,38,4
Ben Simmons,Norman Powell,LAC,38,7
Ben Simmons,Nicolas Batum,LAC,35,5
Kawhi Leonard,Ben Simmons,LAC,32,1
Amir Coffey,Ben Simmons,LAC,29,0
Norman Powell,Ben Simmons,LAC,21,2
Norman Powell,Bogdan Bogdanović,LAC,20,2
Ivica Zubac,Ben Simmons,LAC,19,0
Derrick Jones Jr.,Nicolas Batum,LAC,18,2
Ben Simmons,Ivica Zubac,LAC,15,3
Kris Dunn,Ben Simmons,LAC,14,0
Ben Simmons,Kris Dunn,LAC,10,2
