Passer,Receiver,Team,Passes,Assists
Jakob Poeltl,RJ Barrett,TOR,474,31
Scottie Barnes,Immanuel Quickley,TOR,467,27
Immanuel Quickley,Scottie Barnes,TOR,459,41
Jakob Poeltl,Scottie Barnes,TOR,456,25
RJ Barrett,Scottie Barnes,TOR,441,33
Scottie Barnes,RJ Barrett,TOR,436,59
Scottie Barnes,Jakob Poeltl,TOR,358,68
Jamal Shead,Scottie Barnes,TOR,354,32
Scottie Barnes,Jamal Shead,TOR,347,19
Jamal Shead,RJ Barrett,TOR,318,28
RJ Barrett,Jakob Poeltl,TOR,315,58
Jakob Poeltl,Immanuel Quickley,TOR,305,16
RJ Barrett,Jamal Shead,TOR,285,19
Jonathan Mogbo,Jamal Shead,TOR,271,12
Ochai Agbaji,Jamal Shead,TOR,263,9
Scottie Barnes,Ochai Agbaji,TOR,251,38
RJ Barrett,Gradey Dick,TOR,234,45
Jakob Poeltl,Jamal Shead,TOR,229,10
Immanuel Quickley,RJ Barrett,TOR,226,25
Ochai Agbaji,Scottie Barnes,TOR,221,9
Jamal Shead,Jonathan Mogbo,TOR,219,20
Scottie Barnes,Gradey Dick,TOR,217,27
RJ Barrett,Immanuel Quickley,TOR,216,17
Immanuel Quickley,Jakob Poeltl,TOR,211,35
Jonathan Mogbo,Scottie Barnes,TOR,205,17
Jamal Shead,Gradey Dick,TOR,201,40
Scottie Barnes,Ja'Kobe Walter,TOR,201,28
Ochai Agbaji,RJ Barrett,TOR,197,15
Scottie Barnes,Jonathan Mogbo,TOR,196,22
Ja'Kobe Walter,Jamal Shead,TOR,194,8
Jamal Shead,Ochai Agbaji,TOR,190,26
Jamal Shead,Jamison Battle,TOR,187,38
Gradey Dick,Jakob Poeltl,TOR,185,15
Jamal Shead,Ja'Kobe Walter,TOR,178,27
RJ Barrett,Ochai Agbaji,TOR,171,30
Jakob Poeltl,Ochai Agbaji,TOR,168,13
Gradey Dick,RJ Barrett,TOR,166,25
Ja'Kobe Walter,Scottie Barnes,TOR,165,13
Jamal Shead,Jakob Poeltl,TOR,164,19
Jonathan Mogbo,RJ Barrett,TOR,163,10
Gradey Dick,Scottie Barnes,TOR,163,6
Jakob Poeltl,Gradey Dick,TOR,156,18
Jamison Battle,Jamal Shead,TOR,144,5
Ochai Agbaji,Jakob Poeltl,TOR,142,11
Ochai Agbaji,Gradey Dick,TOR,121,19
RJ Barrett,Jonathan Mogbo,TOR,118,15
Jamison Battle,Scottie Barnes,TOR,116,7
Jonathan Mogbo,Immanuel Quickley,TOR,113,6
Gradey Dick,Jamal Shead,TOR,107,4
Scottie Barnes,Jamison Battle,TOR,103,13
Ja'Kobe Walter,RJ Barrett,TOR,102,8
Jonathan Mogbo,Ja'Kobe Walter,TOR,98,7
Immanuel Quickley,Gradey Dick,TOR,94,10
Ochai Agbaji,Immanuel Quickley,TOR,92,3
Gradey Dick,Ochai Agbaji,TOR,87,13
RJ Barrett,Ja'Kobe Walter,TOR,85,13
Immanuel Quickley,Jonathan Mogbo,TOR,85,14
Ochai Agbaji,Jonathan Mogbo,TOR,80,3
Ja'Kobe Walter,Immanuel Quickley,TOR,79,5
Ja'Kobe Walter,Jonathan Mogbo,TOR,79,9
Jonathan Mogbo,Ochai Agbaji,TOR,77,19
Jamison Battle,Jonathan Mogbo,TOR,76,5
Jonathan Mogbo,Jamison Battle,TOR,74,18
Gradey Dick,Immanuel Quickley,TOR,74,5
Jakob Poeltl,Ja'Kobe Walter,TOR,74,5
Immanuel Quickley,Ochai Agbaji,TOR,73,14
Ochai Agbaji,Ja'Kobe Walter,TOR,70,6
Jonathan Mogbo,Gradey Dick,TOR,60,12
Immanuel Quickley,Ja'Kobe Walter,TOR,60,8
RJ Barrett,Jamison Battle,TOR,58,8
Ja'Kobe Walter,Jakob Poeltl,TOR,55,3
Ja'Kobe Walter,Ochai Agbaji,TOR,50,10
Gradey Dick,Jonathan Mogbo,TOR,47,4
Jamal Shead,Immanuel Quickley,TOR,42,3
Immanuel Quickley,Jamison Battle,TOR,41,3
Jamison Battle,Immanuel Quickley,TOR,41,3
Jamison Battle,Ja'Kobe Walter,TOR,39,3
Ochai Agbaji,Jamison Battle,TOR,38,8
Jamison Battle,Ochai Agbaji,TOR,36,3
Jamison Battle,Jakob Poeltl,TOR,35,2
Jamison Battle,RJ Barrett,TOR,34,3
Jakob Poeltl,Jamison Battle,TOR,34,6
Jakob Poeltl,Jonathan Mogbo,TOR,28,4
Ja'Kobe Walter,Gradey Dick,TOR,27,2
Ja'Kobe Walter,Jamison Battle,TOR,26,3
Jonathan Mogbo,Jakob Poeltl,TOR,26,7
Gradey Dick,Ja'Kobe Walter,TOR,25,7
Immanuel Quickley,Jamal Shead,TOR,22,1
Jamison Battle,Gradey Dick,TOR,13,1
Gradey Dick,Jamison Battle,TOR,9,1
Jonathan Mogbo,Jonathan Mogbo,TOR,1,0
